agent_id,step,semitone_before,semitone_after,delta_semitones
3,46,2.376823,2.586823,0.209999
3,48,2.586823,2.796822,0.209999
3,50,2.796822,2.556816,-0.240005
3,52,2.556816,2.316822,-0.239994
3,54,2.316822,2.196819,-0.120003
3,56,2.196819,2.436819,0.240000
3,58,2.436819,2.196819,-0.240000
3,60,2.196819,2.166819,-0.030001
3,64,2.166819,1.956820,-0.209999
3,66,1.956820,1.716820,-0.240000
3,68,1.716820,1.536816,-0.180004
3,70,1.536816,1.386818,-0.149998
3,72,1.386818,1.626823,0.240005
3,74,1.626823,1.806816,0.179993
3,76,1.806816,1.926819,0.120003
3,78,1.926819,2.136818,0.209999
3,80,2.136818,1.956820,-0.179998
3,82,1.956820,1.866817,-0.090002
3,86,1.866817,1.956820,0.090002
3,88,1.956820,2.016815,0.059996
3,90,2.016815,1.836823,-0.179993
3,92,1.836823,1.746820,-0.090002
3,94,1.746820,1.776821,0.030001
3,96,1.776821,1.716820,-0.060001
4,1,-5.453178,-5.543180,-0.090002
4,3,-5.543180,-5.393177,0.150003
4,5,-5.393177,-5.333181,0.059996
4,7,-5.333181,-5.153183,0.179998
4,9,-5.153183,-5.243179,-0.089996
4,11,-5.243179,-5.213184,0.029995
4,13,-5.213184,-5.153183,0.060001
4,15,-5.153183,-4.943184,0.209999
4,17,-4.943184,-5.123177,-0.179993
4,21,-5.123177,-5.213184,-0.090008
4,23,-5.213184,-5.123177,0.090008
4,27,-5.123177,-4.943184,0.179993
4,29,-4.943184,-4.823181,0.120003
4,31,-4.823181,-5.033180,-0.209999
4,33,-5.033180,-5.003180,0.030001
4,35,-5.003180,-5.033180,-0.030001
4,37,-5.033180,-5.093182,-0.060001
4,39,-5.093182,-5.213184,-0.120003
4,41,-5.213184,-5.333181,-0.119997
4,43,-5.333181,-5.273180,0.060001
4,45,-5.273180,-5.363182,-0.090002
4,47,-5.363182,-5.183178,0.180004
4,49,-5.183178,-5.063181,0.119997
4,51,-5.063181,-5.033180,0.030001
4,53,-5.033180,-5.213184,-0.180004
4,55,-5.213184,-5.033180,0.180004
4,57,-5.033180,-5.213184,-0.180004
4,59,-5.213184,-5.153183,0.060001
4,61,-5.153183,-5.093182,0.060001
4,63,-5.093182,-5.063181,0.030001
4,65,-5.063181,-5.153183,-0.090002
4,67,-5.153183,-5.093182,0.060001
4,69,-5.093182,-5.213184,-0.120003
4,71,-5.213184,-5.453178,-0.239994
4,73,-5.453178,-5.423183,0.029995
4,75,-5.423183,-5.393177,0.030006
4,77,-5.393177,-5.543180,-0.150003
4,79,-5.543180,-5.633183,-0.090002
4,81,-5.633183,-5.873177,-0.239994
4,83,-5.873177,-5.693184,0.179993
4,85,-5.693184,-5.873177,-0.179993
4,87,-5.873177,-6.113182,-0.240005
4,89,-6.113182,-6.353182,-0.240000
4,91,-6.353182,-6.113182,0.240000
4,93,-6.113182,-6.023180,0.090002
4,95,-6.023180,-6.083181,-0.060001
4,97,-6.083181,-6.263180,-0.179998
4,99,-6.263180,-6.473179,-0.209999
5,2,-9.293180,-9.473179,-0.179998
5,4,-9.473179,-9.413177,0.060001
5,6,-9.413177,-9.623177,-0.209999
5,8,-9.623177,-9.443184,0.179993
5,10,-9.443184,-9.683178,-0.239994
5,12,-9.683178,-9.593182,0.089996
5,14,-9.593182,-9.383183,0.209999
5,16,-9.383183,-9.353182,0.030001
5,18,-9.353182,-9.533180,-0.179998
5,20,-9.533180,-9.773180,-0.240000
5,22,-9.773180,-9.683178,0.090002
5,24,-9.683178,-9.533180,0.149998
5,26,-9.533180,-9.323181,0.209999
5,28,-9.323181,-9.533180,-0.209999
5,30,-9.533180,-9.353182,0.179998
5,32,-9.353182,-9.323181,0.030001
5,34,-9.323181,-9.083181,0.240000
5,36,-9.083181,-8.933178,0.150003
5,38,-8.933178,-8.903183,0.029995
5,40,-8.903183,-9.113182,-0.209999
5,42,-9.113182,-8.873177,0.240005
5,46,-8.873177,-8.843182,0.029995
5,48,-8.843182,-8.903183,-0.060001
5,50,-8.903183,-8.963184,-0.060001
5,52,-8.963184,-9.173183,-0.209999
5,56,-9.173183,-9.323181,-0.149998
5,58,-9.323181,-9.533180,-0.209999
5,60,-9.533180,-9.623177,-0.089996
5,62,-9.623177,-9.773180,-0.150003
5,64,-9.773180,-9.923183,-0.150003
5,66,-9.923183,-9.743179,0.180004
5,68,-9.743179,-9.623177,0.120003
5,70,-9.623177,-9.743179,-0.120003
5,72,-9.743179,-9.983179,-0.240000
5,74,-9.983179,-9.863182,0.119997
5,76,-9.863182,-9.803181,0.060001
5,78,-9.803181,-9.953178,-0.149998
5,80,-9.953178,-10.073181,-0.120003
5,82,-10.073181,-10.043180,0.030001
5,84,-10.043180,-10.103182,-0.060001
5,86,-10.103182,-10.043180,0.060001
5,88,-10.043180,-10.253180,-0.209999
5,90,-10.253180,-10.403183,-0.150003
5,92,-10.403183,-10.343182,0.060001
5,94,-10.343182,-10.523180,-0.179998
5,96,-10.523180,-10.673183,-0.150003
5,98,-10.673183,-10.463184,0.209999
6,3,10.926819,11.166813,0.239994
6,5,11.166813,10.956814,-0.209999
6,7,10.956814,10.746815,-0.209999
6,9,10.746815,10.836811,0.089996
6,11,10.836811,10.896824,0.060013
6,13,10.896824,10.686825,-0.209999
6,15,10.686825,10.806828,0.120003
6,17,10.806828,10.686825,-0.120003
6,19,10.686825,10.866817,0.179993
6,21,10.866817,11.016827,0.150009
6,23,11.016827,11.226826,0.209999
6,25,11.226826,11.406818,0.179993
6,29,11.406818,11.556828,0.150009
6,31,11.556828,11.346817,-0.210011
6,33,11.346817,11.526821,0.180004
6,35,11.526821,11.586811,0.059990
6,37,11.586811,11.436825,-0.149986
6,39,11.436825,11.316822,-0.120003
6,41,11.316822,11.436825,0.120003
6,43,11.436825,11.556828,0.120003
6,45,11.556828,11.616817,0.059990
6,47,11.616817,11.856823,0.240005
6,49,11.856823,11.886818,0.029995
6,51,11.886818,11.676819,-0.209999
6,53,11.676819,11.796822,0.120003
6,55,11.796822,11.976826,0.180004
6,57,11.976826,11.766827,-0.209999
6,61,11.766827,11.916813,0.149986
6,63,11.916813,11.676819,-0.239994
6,65,11.676819,11.556828,-0.119991
6,67,11.556828,11.646824,0.089996
6,69,11.646824,11.406818,-0.240005
6,71,11.406818,11.166813,-0.240005
6,73,11.166813,11.286816,0.120003
6,75,11.286816,11.466820,0.180004
6,77,11.466820,11.346817,-0.120003
6,79,11.346817,11.436825,0.090008
6,81,11.436825,11.586811,0.149986
6,83,11.586811,11.646824,0.060013
6,85,11.646824,11.676819,0.029995
6,87,11.676819,11.886818,0.209999
6,89,11.886818,12.036816,0.149998
6,91,12.036816,12.246815,0.209999
6,93,12.246815,12.006821,-0.239994
6,97,12.006821,11.796822,-0.209999
6,99,11.796822,12.036816,0.239994
7,2,-17.873182,-18.083181,-0.209999
7,4,-18.083181,-18.233179,-0.149998
7,6,-18.233179,-18.383183,-0.150003
7,8,-18.383183,-18.593182,-0.209999
7,10,-18.593182,-18.383183,0.209999
7,12,-18.383183,-18.473179,-0.089996
7,14,-18.473179,-18.503180,-0.030001
7,16,-18.503180,-18.533180,-0.030001
7,18,-18.533180,-18.413177,0.120003
7,20,-18.413177,-18.623182,-0.210005
7,22,-18.623182,-18.383183,0.240000
7,24,-18.383183,-18.233179,0.150003
7,26,-18.233179,-18.353182,-0.120003
7,28,-18.353182,-18.233179,0.120003
7,30,-18.233179,-18.203178,0.030001
7,32,-18.203178,-17.963179,0.240000
7,34,-17.963179,-18.113182,-0.150003
7,38,-18.113182,-18.203178,-0.089996
7,40,-18.203178,-18.323181,-0.120003
7,42,-18.323181,-18.143177,0.180004
7,44,-18.143177,-18.233179,-0.090002
7,46,-18.233179,-18.113182,0.119997
7,48,-18.113182,-18.263180,-0.149998
7,50,-18.263180,-18.413177,-0.149998
7,52,-18.413177,-18.593182,-0.180004
7,54,-18.593182,-18.413177,0.180004
7,56,-18.413177,-18.203178,0.209999
7,58,-18.203178,-18.293180,-0.090002
7,60,-18.293180,-18.173183,0.119997
7,62,-18.173183,-17.933178,0.240005
7,64,-17.933178,-17.903183,0.029995
7,66,-17.903183,-17.753180,0.150003
7,70,-17.753180,-17.993179,-0.240000
7,72,-17.993179,-17.873182,0.119997
7,74,-17.873182,-18.023180,-0.149998
7,76,-18.023180,-17.993179,0.030001
7,78,-17.993179,-17.753180,0.240000
7,80,-17.753180,-17.903183,-0.150003
7,82,-17.903183,-17.723179,0.180004
7,84,-17.723179,-17.573181,0.149998
7,86,-17.573181,-17.543180,0.030001
7,88,-17.543180,-17.663177,-0.119997
7,90,-17.663177,-17.633183,0.029995
7,92,-17.633183,-17.603182,0.030001
7,94,-17.603182,-17.483179,0.120003
7,96,-17.483179,-17.603182,-0.120003
7,98,-17.603182,-17.573181,0.030001
8,1,-17.993179,-17.843182,0.149998
8,3,-17.843182,-17.903183,-0.060001
8,5,-17.903183,-17.933178,-0.029995
8,7,-17.933178,-18.083181,-0.150003
8,13,-18.083181,-18.053181,0.030001
8,15,-18.053181,-18.173183,-0.120003
8,17,-18.173183,-18.113182,0.060001
8,19,-18.113182,-17.963179,0.150003
8,21,-17.963179,-17.873182,0.089996
8,23,-17.873182,-17.993179,-0.119997
8,25,-17.993179,-17.783180,0.209999
8,27,-17.783180,-17.573181,0.209999
8,31,-17.573181,-17.393177,0.180004
8,33,-17.393177,-17.183178,0.209999
8,35,-17.183178,-17.093182,0.089996
8,37,-17.093182,-17.003180,0.090002
8,39,-17.003180,-17.093182,-0.090002
8,41,-17.093182,-17.213184,-0.120003
8,43,-17.213184,-17.453178,-0.239994
8,45,-17.453178,-17.423183,0.029995
8,47,-17.423183,-17.483179,-0.059996
8,51,-17.483179,-17.693178,-0.209999
8,53,-17.693178,-17.933178,-0.240000
8,55,-17.933178,-18.113182,-0.180004
8,57,-18.113182,-18.323181,-0.209999
8,59,-18.323181,-18.473179,-0.149998
8,61,-18.473179,-18.413177,0.060001
8,63,-18.413177,-18.203178,0.209999
8,65,-18.203178,-18.113182,0.089996
8,67,-18.113182,-18.293180,-0.179998
8,69,-18.293180,-18.143177,0.150003
8,71,-18.143177,-18.293180,-0.150003
8,73,-18.293180,-18.323181,-0.030001
8,75,-18.323181,-18.173183,0.149998
8,77,-18.173183,-17.993179,0.180004
8,79,-17.993179,-17.873182,0.119997
8,81,-17.873182,-17.933178,-0.059996
8,83,-17.933178,-17.783180,0.149998
