condition,seed,step,dead_agent_id,child_life_id,parent_agent_id,parent_life_id,parent_freq_hz,parent_st,parent_energy,parent_c_level,candidate_count,candidate_energy_mean,candidate_energy_std,candidate_c_level_mean,chosen_selection_prob,offspring_freq_hz,offspring_st,spawn_freq_hz,spawn_st,spawn_c_level,delta_st,parent_family_center_hz,parent_azimuth_st,child_family_center_hz,child_azimuth_st,family_inherited,family_mutated,oracle_applied,oracle_freq_hz,oracle_st,oracle_c_score,oracle_c_level,oracle_delta_st
heredity_oracle,12648490,1381,27,43,28,41,439.665344,11.986828,0.992853,0.880776,31,0.364373,0.464215,0.656919,0.091306,350.489563,8.062416,439.665344,11.986828,0.880776,0.000000,412.003265,1.125001,329.376770,1.075592,0,1,1,439.665344,11.986828,0.999944,0.880776,3.924412
heredity_oracle,12648490,1383,11,44,19,38,439.665344,11.986828,0.988428,0.880776,30,0.408848,0.474840,0.673353,0.082944,438.430511,11.938136,439.665344,11.986828,0.880776,0.000000,412.003265,1.125001,412.003265,1.076308,1,0,1,439.665344,11.986828,0.999944,0.880776,0.048691
heredity_oracle,12648490,1383,24,45,29,32,439.665344,11.986828,0.985025,0.880776,30,0.408848,0.474840,0.673353,0.082374,435.779175,11.833125,439.665344,11.986828,0.880776,0.000000,412.003265,1.125001,412.003265,0.971298,1,0,1,439.665344,11.986828,0.999944,0.880776,0.153704
heredity_oracle,12648490,1388,31,46,12,39,439.665344,11.986828,0.988088,0.880776,31,0.457872,0.482942,0.691542,0.071112,358.194641,8.438883,439.665344,11.986828,0.880776,0.000000,412.003265,1.125001,339.028320,0.952055,0,1,1,439.665344,11.986828,0.999944,0.880776,3.547945
heredity_oracle,12648490,1389,26,47,11,44,439.665344,11.986828,0.997958,0.880776,31,0.489696,0.484762,0.703032,0.067664,394.698547,10.118973,439.665344,11.986828,0.880776,0.000000,412.003265,1.125001,377.808655,0.757145,0,1,1,439.665344,11.986828,0.999944,0.880776,1.867855
heredity_oracle,12648490,1392,10,48,25,35,439.665344,11.986828,0.984344,0.880776,31,0.520685,0.484620,0.714837,0.061774,383.675323,9.628590,439.665344,11.986828,0.880776,0.000000,412.003265,1.125001,359.187927,1.141765,0,1,1,439.665344,11.986828,0.999944,0.880776,2.358239
heredity_oracle,12648490,1400,23,49,12,39,439.665344,11.986828,0.984004,0.880776,31,0.549490,0.482948,0.726139,0.058362,313.268555,6.118757,329.376770,6.986823,0.752957,-5.000004,412.003265,1.125001,293.441284,1.131937,0,1,1,329.376770,6.986823,0.557226,0.752957,0.868067
heredity_oracle,12648490,1402,21,50,26,47,439.665344,11.986828,0.995576,0.880776,31,0.580947,0.478662,0.733280,0.056428,435.492981,11.821751,439.665344,11.986828,0.880776,0.000000,412.003265,1.125001,412.003265,0.959924,1,0,1,439.665344,11.986828,0.999944,0.880776,0.165075
heredity_oracle,12648490,1405,20,51,21,50,439.665344,11.986828,0.998979,0.880776,31,0.612031,0.472231,0.745458,0.053871,433.257019,11.732635,439.665344,11.986828,0.880776,0.000000,412.003265,1.125001,406.096283,1.120816,0,1,1,439.665344,11.986828,0.999944,0.880776,0.254192
heredity_oracle,12648490,1407,1,52,10,48,439.665344,11.986828,0.994895,0.880776,31,0.643525,0.463480,0.756646,0.050767,437.940948,11.918794,439.665344,11.986828,0.880776,0.000000,412.003265,1.125001,412.003265,1.056966,1,0,1,439.665344,11.986828,0.999944,0.880776,0.068033
