crowding_strength,adaptation_enabled,seed,final_mean_c,late20_mean_c,final_occ,final_pairwise_ji
0.000000,0,12648490,0.999944,0.999945,1.000000,1.000000
0.000000,0,12648491,0.999944,0.999945,1.000000,1.000000
0.000000,0,12648492,0.999944,0.999945,1.000000,1.000000
0.000000,0,12648493,0.999944,0.999945,1.000000,1.000000
0.000000,0,12648494,0.999944,0.999945,1.000000,1.000000
0.000000,0,12648495,0.999944,0.999945,1.000000,1.000000
0.000000,0,12648496,0.999944,0.999945,1.000000,1.000000
0.000000,0,12648497,0.999944,0.999945,1.000000,1.000000
0.000000,0,12648498,0.999944,0.999945,1.000000,1.000000
0.000000,0,12648499,0.999944,0.999945,1.000000,1.000000
0.000000,0,12648500,0.999944,0.999945,1.000000,1.000000
0.000000,0,12648501,0.999944,0.999945,1.000000,1.000000
0.000000,0,12648502,0.999944,0.999945,1.000000,1.000000
0.000000,0,12648503,0.999944,0.999945,1.000000,1.000000
0.000000,0,12648504,0.999944,0.999945,1.000000,1.000000
0.000000,0,12648505,0.999944,0.999945,1.000000,1.000000
0.000000,0,12648506,0.999944,0.999945,1.000000,1.000000
0.000000,0,12648507,0.999944,0.999945,1.000000,1.000000
0.000000,0,12648508,0.999944,0.999945,1.000000,1.000000
0.000000,0,12648509,0.999944,0.999945,1.000000,1.000000
0.000000,1,12648490,0.999944,0.999945,1.000000,1.000000
0.000000,1,12648491,0.999944,0.999945,1.000000,1.000000
0.000000,1,12648492,0.999944,0.999945,1.000000,1.000000
0.000000,1,12648493,0.999944,0.999945,1.000000,1.000000
0.000000,1,12648494,0.999944,0.999945,1.000000,1.000000
0.000000,1,12648495,0.999944,0.999945,1.000000,1.000000
0.000000,1,12648496,0.999944,0.999945,1.000000,1.000000
0.000000,1,12648497,0.999944,0.999945,1.000000,1.000000
0.000000,1,12648498,0.999944,0.999945,1.000000,1.000000
0.000000,1,12648499,0.999944,0.999945,1.000000,1.000000
0.000000,1,12648500,0.999944,0.999945,1.000000,1.000000
0.000000,1,12648501,0.999944,0.999945,1.000000,1.000000
0.000000,1,12648502,0.999944,0.999945,1.000000,1.000000
0.000000,1,12648503,0.999944,0.999945,1.000000,1.000000
0.000000,1,12648504,0.999944,0.999945,1.000000,1.000000
0.000000,1,12648505,0.999944,0.999945,1.000000,1.000000
0.000000,1,12648506,0.999944,0.999945,1.000000,1.000000
0.000000,1,12648507,0.999944,0.999945,1.000000,1.000000
0.000000,1,12648508,0.999944,0.999945,1.000000,1.000000
0.000000,1,12648509,0.999944,0.999945,1.000000,1.000000
0.150000,0,12648490,0.999944,0.999945,1.000000,1.000000
0.150000,0,12648491,0.999944,0.999945,1.000000,1.000000
0.150000,0,12648492,0.999944,0.999945,1.000000,1.000000
0.150000,0,12648493,0.999944,0.999945,1.000000,1.000000
0.150000,0,12648494,0.999944,0.999945,1.000000,1.000000
0.150000,0,12648495,0.999944,0.999945,1.000000,1.000000
0.150000,0,12648496,0.999944,0.999945,1.000000,1.000000
0.150000,0,12648497,0.999944,0.999945,1.000000,1.000000
0.150000,0,12648498,0.999944,0.999945,1.000000,1.000000
0.150000,0,12648499,0.999944,0.999945,1.000000,1.000000
0.150000,0,12648500,0.999944,0.999945,1.000000,1.000000
0.150000,0,12648501,0.999944,0.999945,1.000000,1.000000
0.150000,0,12648502,0.999944,0.999945,1.000000,1.000000
0.150000,0,12648503,0.999944,0.999945,1.000000,1.000000
0.150000,0,12648504,0.999944,0.999945,1.000000,1.000000
0.150000,0,12648505,0.999944,0.999945,1.000000,1.000000
0.150000,0,12648506,0.999944,0.999945,1.000000,1.000000
0.150000,0,12648507,0.999944,0.999945,1.000000,1.000000
0.150000,0,12648508,0.999944,0.999945,1.000000,1.000000
0.150000,0,12648509,0.999944,0.999945,1.000000,1.000000
0.150000,1,12648490,0.999944,0.999945,1.000000,1.000000
0.150000,1,12648491,0.999944,0.999945,1.000000,1.000000
0.150000,1,12648492,0.999944,0.999945,1.000000,1.000000
0.150000,1,12648493,0.999944,0.999945,1.000000,1.000000
0.150000,1,12648494,0.999944,0.999945,1.000000,1.000000
0.150000,1,12648495,0.999944,0.999945,1.000000,1.000000
0.150000,1,12648496,0.999944,0.999945,1.000000,1.000000
0.150000,1,12648497,0.999944,0.999945,1.000000,1.000000
0.150000,1,12648498,0.999944,0.999945,1.000000,1.000000
0.150000,1,12648499,0.999944,0.999945,1.000000,1.000000
0.150000,1,12648500,0.999944,0.999945,1.000000,1.000000
0.150000,1,12648501,0.999944,0.999945,1.000000,1.000000
0.150000,1,12648502,0.999944,0.999945,1.000000,1.000000
0.150000,1,12648503,0.999944,0.999945,1.000000,1.000000
0.150000,1,12648504,0.999944,0.999945,1.000000,1.000000
0.150000,1,12648505,0.999944,0.999945,1.000000,1.000000
0.150000,1,12648506,0.999944,0.999945,1.000000,1.000000
0.150000,1,12648507,0.999944,0.999945,1.000000,1.000000
0.150000,1,12648508,0.999944,0.999945,1.000000,1.000000
0.150000,1,12648509,0.999944,0.999945,1.000000,1.000000
