condition,seed,step,dead_agent_id,child_life_id,parent_agent_id,parent_life_id,parent_freq_hz,parent_st,parent_energy,parent_c_level,candidate_count,candidate_energy_mean,candidate_energy_std,candidate_c_level_mean,chosen_selection_prob,offspring_freq_hz,offspring_st,spawn_freq_hz,spawn_st,spawn_c_level,delta_st,parent_family_center_hz,parent_azimuth_st,child_family_center_hz,child_azimuth_st,family_inherited,family_mutated,oracle_applied,oracle_freq_hz,oracle_st,oracle_c_score,oracle_c_level,oracle_delta_st
heredity_oracle_global,12648490,1400,23,49,12,39,439.665344,11.986828,0.984004,0.880776,31,0.549490,0.482948,0.726139,0.058362,313.268555,6.118757,439.665344,11.986828,0.880776,0.000000,412.003265,1.125001,293.441284,1.131937,0,1,1,439.665344,11.986828,0.999944,0.880776,5.868071
heredity_oracle_global,12648490,1402,21,50,26,47,439.665344,11.986828,0.995576,0.880776,31,0.580956,0.478670,0.737403,0.056427,435.492981,11.821751,439.665344,11.986828,0.880776,0.000000,412.003265,1.125001,412.003265,0.959924,1,0,1,439.665344,11.986828,0.999944,0.880776,0.165075
heredity_oracle_global,12648490,1405,20,51,21,50,439.665344,11.986828,0.998979,0.880776,31,0.612053,0.472249,0.749582,0.053867,433.257019,11.732635,439.665344,11.986828,0.880776,0.000000,412.003265,1.125001,406.096283,1.120816,0,1,1,439.665344,11.986828,0.999944,0.880776,0.254192
heredity_oracle_global,12648490,1407,1,52,10,48,439.665344,11.986828,0.994895,0.880776,31,0.643556,0.463504,0.760769,0.050762,437.940948,11.918794,439.665344,11.986828,0.880776,0.000000,412.003265,1.125001,412.003265,1.056966,1,0,1,439.665344,11.986828,0.999944,0.880776,0.068033
heredity_oracle_global,12648490,1411,6,53,31,46,439.665344,11.986828,0.992172,0.880776,30,0.696840,0.442490,0.780194,0.048157,403.925476,10.519028,439.665344,11.986828,0.880776,0.000000,412.003265,1.125001,377.808655,1.157201,0,1,1,439.665344,11.986828,0.999944,0.880776,1.467800
heredity_oracle_global,12648490,1411,18,54,29,32,439.665344,11.986828,0.975495,0.880776,30,0.696840,0.442490,0.780194,0.046552,438.039307,11.922682,439.665344,11.986828,0.880776,0.000000,412.003265,1.125001,412.003265,1.060856,1,0,1,439.665344,11.986828,0.999944,0.880776,0.064145
heredity_oracle_global,12648490,1414,8,55,18,54,439.665344,11.986828,0.998979,0.880776,31,0.737722,0.422098,0.795300,0.044563,428.772858,11.552521,439.665344,11.986828,0.880776,0.000000,412.003265,1.125001,412.003265,0.690695,1,0,1,439.665344,11.986828,0.999944,0.880776,0.434307
heredity_oracle_global,12648490,1426,15,56,27,43,439.665344,11.986828,0.984685,0.880776,31,0.765443,0.403046,0.806238,0.041795,434.077148,11.765375,439.665344,11.986828,0.880776,0.000000,412.003265,1.125001,412.003265,0.903548,1,0,1,439.665344,11.986828,0.999944,0.880776,0.221453
heredity_oracle_global,12648490,1433,13,57,28,41,439.665344,11.986828,0.975155,0.880776,31,0.795394,0.379660,0.817531,0.039489,378.716400,9.403372,439.665344,11.986828,0.880776,0.000000,412.003265,1.125001,359.187927,0.916548,0,1,1,439.665344,11.986828,0.999944,0.880776,2.583456
heredity_oracle_global,12648490,1435,0,58,11,44,439.665344,11.986828,0.982302,0.880776,31,0.826997,0.352131,0.829130,0.038527,398.435822,10.282125,439.665344,11.986828,0.880776,0.000000,412.003265,1.125001,377.808655,0.920299,0,1,1,439.665344,11.986828,0.999944,0.880776,1.704701
heredity_oracle_global,12648490,1452,22,59,16,34,439.665344,11.986828,0.962903,0.880776,31,0.853500,0.319014,0.840126,0.036025,438.521820,11.941741,439.665344,11.986828,0.880776,0.000000,412.003265,1.125001,412.003265,1.079915,1,0,1,439.665344,11.986828,0.999944,0.880776,0.045087
heredity_oracle_global,12648490,1464,7,60,16,34,439.665344,11.986828,0.958819,0.880776,31,0.881563,0.279456,0.851027,0.034675,438.374573,11.935926,439.665344,11.986828,0.880776,0.000000,412.003265,1.125001,412.003265,1.074100,1,0,1,439.665344,11.986828,0.999944,0.880776,0.050901
heredity_oracle_global,12648490,1480,9,61,15,56,439.665344,11.986828,0.981622,0.880776,31,0.908053,0.230223,0.861865,0.035420,432.027496,11.683435,439.665344,11.986828,0.880776,0.000000,412.003265,1.125001,412.003265,0.821607,1,0,1,439.665344,11.986828,0.999944,0.880776,0.303392
heredity_oracle_global,12648490,1515,3,62,21,50,439.665344,11.986828,0.961541,0.880776,31,0.927741,0.163814,0.871785,0.033604,434.864685,11.796756,439.665344,11.986828,0.880776,0.000000,412.003265,1.125001,412.003265,0.934930,1,0,1,439.665344,11.986828,0.999944,0.880776,0.190070
