condition,step,mean_c_score,ci95
heredity,18700,0.154723,0.062974
heredity,18800,0.172732,0.071223
heredity,18900,0.177936,0.068864
heredity,19000,0.186546,0.072585
heredity,19100,0.182650,0.068484
heredity,19200,0.195452,0.079459
heredity,19300,0.202461,0.078924
heredity,19400,0.195335,0.075899
heredity,19500,0.183231,0.071873
heredity,19600,0.177670,0.068598
heredity,19700,0.169288,0.066502
heredity,19800,0.164946,0.065337
heredity,19900,0.144756,0.056160
heredity,20000,0.140835,0.049080
heredity,20100,0.151559,0.053615
heredity,20200,0.162322,0.066977
heredity,20300,0.156202,0.066457
heredity,20400,0.164585,0.063886
heredity,20500,0.161779,0.061633
heredity,20600,0.149997,0.055576
heredity,20700,0.157045,0.061944
heredity,20800,0.153240,0.057252
heredity,20900,0.162517,0.066584
heredity,21000,0.158610,0.065684
heredity,21100,0.148603,0.062244
heredity,21200,0.133808,0.058183
heredity,21300,0.133649,0.055919
heredity,21400,0.138717,0.050241
heredity,21500,0.137723,0.048055
heredity,21600,0.121361,0.040015
heredity,21700,0.118172,0.037544
heredity,21800,0.142136,0.054748
heredity,21900,0.147009,0.060822
heredity,22000,0.155093,0.065132
heredity,22100,0.161102,0.059756
heredity,22200,0.168840,0.061230
heredity,22300,0.169269,0.058174
heredity,22400,0.166956,0.059321
heredity,22500,0.169525,0.066211
heredity,22600,0.179427,0.074961
heredity,22700,0.153944,0.058555
heredity,22800,0.165326,0.062883
heredity,22900,0.165237,0.060853
heredity,23000,0.167480,0.065052
heredity,23100,0.163979,0.059774
heredity,23200,0.176592,0.075331
heredity,23300,0.169379,0.075947
heredity,23400,0.172877,0.070930
heredity,23500,0.166403,0.064303
heredity,23600,0.162807,0.063184
heredity,23700,0.160111,0.062307
heredity,23800,0.161061,0.064340
heredity,23900,0.172002,0.065224
heredity,24000,0.166272,0.063517
heredity,24100,0.178146,0.066456
heredity,24200,0.152961,0.053021
heredity,24300,0.163888,0.057019
heredity,24400,0.174411,0.071287
heredity,24500,0.183620,0.077161
heredity,24600,0.172676,0.071727
heredity,24700,0.181814,0.072637
heredity,24800,0.181153,0.077439
heredity,24900,0.176234,0.071168
heredity,25000,0.155249,0.059501
heredity,25100,0.148099,0.048534
heredity,25200,0.145419,0.052247
heredity,25300,0.173664,0.063495
heredity,25400,0.176135,0.071842
heredity,25500,0.182658,0.074793
heredity,25600,0.188883,0.076444
heredity,25700,0.160503,0.061990
heredity,25800,0.165002,0.063447
heredity,25900,0.172862,0.065344
heredity,26000,0.173308,0.060377
heredity,26100,0.173990,0.060476
heredity,26200,0.156472,0.050188
heredity,26300,0.150835,0.051406
heredity,26400,0.146719,0.050872
heredity,26500,0.154103,0.053413
heredity,26600,0.169761,0.057494
heredity,26700,0.171541,0.056777
heredity,26800,0.177474,0.057158
heredity,26900,0.169229,0.058644
heredity,27000,0.159976,0.059999
heredity,27100,0.165233,0.065998
heredity,27200,0.138767,0.060633
heredity,27300,0.124899,0.053085
heredity,27400,0.126303,0.046936
heredity,27500,0.122393,0.039884
heredity,27600,0.145184,0.050692
heredity,27700,0.152200,0.054718
heredity,27800,0.161056,0.066034
heredity,27900,0.163431,0.064762
heredity,28000,0.168552,0.071791
heredity,28100,0.163255,0.075075
heredity,28200,0.181250,0.075234
heredity,28300,0.184612,0.076920
heredity,28400,0.177675,0.066662
heredity,28500,0.172936,0.063350
heredity,28600,0.160304,0.057347
heredity,28700,0.129859,0.040509
heredity,28800,0.140778,0.044863
heredity,28900,0.143870,0.045260
heredity,29000,0.150352,0.054013
heredity,29100,0.161821,0.059415
heredity,29200,0.168670,0.068816
heredity,29300,0.165895,0.062140
heredity,29400,0.162129,0.061136
heredity,29500,0.175898,0.073201
heredity,29600,0.175074,0.075102
heredity,29700,0.178756,0.075873
heredity,29800,0.162974,0.065589
heredity,29900,0.168651,0.065399
heredity,30000,0.168747,0.063613
heredity,30100,0.166046,0.060949
heredity,30200,0.165351,0.068848
heredity,30300,0.174316,0.074600
heredity,30400,0.172417,0.064191
heredity,30500,0.176374,0.069374
heredity,30600,0.175534,0.062248
heredity,30700,0.172775,0.069599
heredity,30800,0.174271,0.065581
heredity,30900,0.184946,0.077195
heredity,31000,0.180099,0.072073
heredity,31100,0.167243,0.065187
heredity,31200,0.166710,0.063157
heredity,31300,0.154426,0.055972
heredity,31400,0.164464,0.060054
heredity,31500,0.174199,0.062535
heredity,31600,0.164810,0.060410
heredity,31700,0.135282,0.043555
heredity,31800,0.142245,0.046792
heredity,31900,0.148420,0.055253
heredity,32000,0.146786,0.051209
heredity,32100,0.144718,0.049252
heredity,32200,0.154581,0.060897
heredity,32300,0.166396,0.067128
heredity,32400,0.164264,0.066190
