condition,seed,life_id,agent_id,birth_step,death_step,lifetime_steps,spawn_c_score,spawn_c_level,step1_c_score,step1_c_level,step10_c_score,step10_c_level,step100_c_score,step100_c_level
heredity,12648490,29,29,0,1339,1339,0.000000,0.000000,0.000092,0.500046,0.000092,0.500046,0.000092,0.500046
heredity,12648490,30,30,0,1339,1339,0.000000,0.000000,0.000004,0.500002,0.000004,0.500002,0.000004,0.500002
heredity,12648490,16,16,0,1343,1343,0.000000,0.000000,0.004416,0.502208,0.004416,0.502208,0.004416,0.502208
heredity,12648490,25,25,0,1346,1346,0.000000,0.000000,0.007594,0.503797,0.007594,0.503797,0.007594,0.503797
heredity,12648490,5,5,0,1347,1347,0.000000,0.000000,0.008853,0.504426,0.008853,0.504426,0.008853,0.504426
heredity,12648490,14,14,0,1348,1348,0.000000,0.000000,0.009001,0.504500,0.009001,0.504500,0.009001,0.504500
heredity,12648490,19,19,0,1349,1349,0.000000,0.000000,0.010672,0.505335,0.010672,0.505335,0.010672,0.505335
heredity,12648490,12,12,0,1353,1353,0.000000,0.000000,0.000000,0.500000,0.000000,0.500000,0.000000,0.500000
heredity,12648490,2,2,0,1360,1360,0.000000,0.000000,0.021787,0.510889,0.021787,0.510889,0.021787,0.510889
heredity,12648490,28,28,0,1360,1360,0.000000,0.000000,0.000000,0.500000,0.000000,0.500000,0.000000,0.500000
heredity,12648490,17,17,0,1369,1369,0.000000,0.000000,0.018697,0.509347,0.018697,0.509347,0.018697,0.509347
heredity,12648490,27,27,0,1381,1381,0.000000,0.000000,0.004390,0.502195,0.004390,0.502195,0.004390,0.502195
heredity,12648490,11,11,0,1383,1383,0.000000,0.000000,0.045027,0.522493,0.045027,0.522493,0.045027,0.522493
heredity,12648490,24,24,0,1383,1383,0.000000,0.000000,0.044429,0.522200,0.044429,0.522200,0.044429,0.522200
heredity,12648490,31,31,0,1388,1388,0.000000,0.000000,0.048689,0.524319,0.048689,0.524319,0.048689,0.524319
heredity,12648490,26,26,0,1389,1389,0.000000,0.000000,0.049321,0.524589,0.049321,0.524589,0.049321,0.524589
heredity,12648490,10,10,0,1392,1392,0.000000,0.000000,0.029665,0.514827,0.029665,0.514827,0.029665,0.514827
heredity,12648490,23,23,0,1400,1400,0.000000,0.000000,0.060901,0.530407,0.060901,0.530407,0.060901,0.530407
heredity,12648490,21,21,0,1402,1402,0.000000,0.000000,0.063343,0.531598,0.063343,0.531598,0.063343,0.531598
heredity,12648490,20,20,0,1405,1405,0.000000,0.000000,0.006472,0.503236,0.006472,0.503236,0.006472,0.503236
heredity,12648490,1,1,0,1407,1407,0.000000,0.000000,0.068254,0.533961,0.068254,0.533961,0.068254,0.533961
heredity,12648490,6,6,0,1411,1411,0.000000,0.000000,0.050895,0.525426,0.050895,0.525426,0.050895,0.525426
