condition,seed,life_id,agent_id,birth_step,death_step,lifetime_steps,spawn_c_score,spawn_c_level,step1_c_score,step1_c_level,step10_c_score,step10_c_level,step100_c_score,step100_c_level
heredity_oracle_global_freeze,12648490,42,17,1370,4314,2944,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,34,16,1344,4320,2976,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,46,31,1389,4331,2942,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,33,30,1340,4332,2992,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,43,27,1382,4339,2957,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,44,11,1384,4339,2955,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,39,12,1354,4340,2986,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,50,21,1403,4340,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,54,18,1412,4349,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,41,28,1361,4350,2989,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,47,26,1390,4350,2960,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,45,24,1384,4365,2981,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,51,20,1406,4365,2959,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,58,0,1436,4373,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,53,6,1412,4376,2964,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,49,23,1401,4380,2979,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,56,15,1427,4380,2953,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,48,10,1393,4386,2993,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,52,1,1408,4386,2978,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,59,22,1453,4390,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,57,13,1434,4399,2965,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,55,8,1415,4405,2990,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,60,7,1465,4447,2982,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,61,9,1481,4449,2968,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,62,3,1516,4453,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,63,4,1619,4572,2953,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,64,29,4278,7215,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,67,2,4299,7242,2943,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,69,19,4311,7248,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,65,25,4285,7264,2979,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,70,17,4315,7265,2950,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,68,14,4302,7268,2966,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,72,31,4332,7269,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,66,5,4286,7270,2984,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,75,11,4340,7277,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,76,12,4341,7278,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,78,18,4350,7287,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,73,30,4333,7290,2957,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,79,28,4351,7292,2941,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,74,27,4340,7295,2955,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,81,24,4366,7303,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,71,16,4321,7305,2984,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,77,21,4341,7306,2965,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,85,23,4381,7318,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,80,26,4351,7321,2970,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,87,10,4387,7324,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,88,1,4387,7331,2944,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,89,22,4391,7331,2940,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,83,0,4374,7337,2963,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,90,13,4400,7343,2943,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,91,8,4406,7343,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,82,20,4366,7352,2986,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,84,6,4377,7365,2988,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,86,15,4381,7367,2986,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,92,7,4448,7404,2956,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,93,9,4450,7422,2972,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,94,3,4454,7429,2975,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648490,95,4,4573,7529,2956,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,4,4,0,1339,1339,0.000000,0.000000,0.000001,0.500000,0.000001,0.500000,0.000001,0.500000
heredity_oracle_global_freeze,12648491,5,5,0,1339,1339,0.000000,0.000000,0.000000,0.500000,0.000000,0.500000,0.000000,0.500000
heredity_oracle_global_freeze,12648491,1,1,0,1341,1341,0.000000,0.000000,0.000735,0.500368,0.000735,0.500368,0.000735,0.500368
heredity_oracle_global_freeze,12648491,18,18,0,1341,1341,0.000000,0.000000,0.002375,0.501187,0.002375,0.501187,0.002375,0.501187
heredity_oracle_global_freeze,12648491,2,2,0,1348,1348,0.000000,0.000000,0.009163,0.504581,0.009163,0.504581,0.009163,0.504581
heredity_oracle_global_freeze,12648491,24,24,0,1348,1348,0.000000,0.000000,0.009840,0.504919,0.009840,0.504919,0.009840,0.504919
heredity_oracle_global_freeze,12648491,13,13,0,1353,1353,0.000000,0.000000,0.000000,0.500000,0.000000,0.500000,0.000000,0.500000
heredity_oracle_global_freeze,12648491,15,15,0,1353,1353,0.000000,0.000000,0.014844,0.507420,0.014844,0.507420,0.014844,0.507420
