bin_center,baseline_mean,baseline_ci95,nohill_mean,nohill_ci95,norep_mean,norep_ci95,n_seeds,n_pairs
5.6750,0.000000,0.000000,0.005072,0.001695,0.000000,0.000000,20,276
5.7250,0.000000,0.000000,0.003261,0.001112,0.000000,0.000000,20,276
5.7750,0.000000,0.000000,0.005797,0.002154,0.000000,0.000000,20,276
5.8250,0.000181,0.000346,0.002355,0.001153,0.000362,0.000692,20,276
5.8750,0.000000,0.000000,0.003261,0.001319,0.000000,0.000000,20,276
5.9250,0.000000,0.000000,0.004710,0.001338,0.000000,0.000000,20,276
5.9750,0.000000,0.000000,0.002717,0.000988,0.000000,0.000000,20,276
6.0250,0.000000,0.000000,0.004348,0.001384,0.000000,0.000000,20,276
6.0750,0.000000,0.000000,0.004710,0.002076,0.000000,0.000000,20,276
6.1250,0.000000,0.000000,0.004710,0.001429,0.000000,0.000000,20,276
6.1750,0.000000,0.000000,0.003080,0.001610,0.000000,0.000000,20,276
6.2250,0.000000,0.000000,0.004167,0.001529,0.000000,0.000000,20,276
6.2750,0.000000,0.000000,0.003442,0.001278,0.000000,0.000000,20,276
6.3250,0.000000,0.000000,0.003986,0.001804,0.000000,0.000000,20,276
6.3750,0.000000,0.000000,0.005978,0.002423,0.000000,0.000000,20,276
6.4250,0.000000,0.000000,0.004348,0.001556,0.000000,0.000000,20,276
6.4750,0.000000,0.000000,0.001812,0.000939,0.000000,0.000000,20,276
6.5250,0.000725,0.001077,0.006159,0.001817,0.000000,0.000000,20,276
6.5750,0.000000,0.000000,0.003804,0.001546,0.000000,0.000000,20,276
6.6250,0.000000,0.000000,0.002717,0.001409,0.001630,0.003115,20,276
6.6750,0.000000,0.000000,0.003261,0.001220,0.000000,0.000000,20,276
6.7250,0.000000,0.000000,0.004167,0.001153,0.000000,0.000000,20,276
6.7750,0.000000,0.000000,0.003442,0.001546,0.000000,0.000000,20,276
6.8250,0.000000,0.000000,0.005978,0.002261,0.000000,0.000000,20,276
6.8750,0.000000,0.000000,0.004529,0.001730,0.000000,0.000000,20,276
6.9250,0.000000,0.000000,0.003261,0.002002,0.000000,0.000000,20,276
6.9750,0.001812,0.003461,0.005435,0.002217,0.000000,0.000000,20,276
7.0250,0.246196,0.021147,0.003261,0.001804,0.200906,0.034915,20,276
7.0750,0.000000,0.000000,0.003261,0.001411,0.000000,0.000000,20,276
7.1250,0.000000,0.000000,0.004348,0.001710,0.000000,0.000000,20,276
7.1750,0.000000,0.000000,0.003986,0.001658,0.000000,0.000000,20,276
7.2250,0.000000,0.000000,0.003442,0.001062,0.000000,0.000000,20,276
7.2750,0.000000,0.000000,0.005254,0.001373,0.000000,0.000000,20,276
7.3250,0.000000,0.000000,0.003080,0.001444,0.000000,0.000000,20,276
7.3750,0.000000,0.000000,0.004891,0.002087,0.010870,0.020765,20,276
7.4250,0.000000,0.000000,0.004348,0.001473,0.000000,0.000000,20,276
7.4750,0.000000,0.000000,0.003442,0.001278,0.000000,0.000000,20,276
7.5250,0.000000,0.000000,0.002717,0.001217,0.000000,0.000000,20,276
7.5750,0.000000,0.000000,0.004529,0.002001,0.001087,0.002076,20,276
7.6250,0.000543,0.001038,0.004348,0.001384,0.000725,0.001384,20,276
7.6750,0.000000,0.000000,0.001993,0.001062,0.000000,0.000000,20,276
7.7250,0.003623,0.004231,0.004167,0.002147,0.000000,0.000000,20,276
7.7750,0.000000,0.000000,0.003080,0.001529,0.000000,0.000000,20,276
7.8250,0.000000,0.000000,0.003804,0.001278,0.000362,0.000692,20,276
7.8750,0.000000,0.000000,0.004529,0.001937,0.000000,0.000000,20,276
7.9250,0.000000,0.000000,0.004167,0.001529,0.000000,0.000000,20,276
7.9750,0.000000,0.000000,0.002355,0.001258,0.000000,0.000000,20,276
8.0250,0.000000,0.000000,0.005072,0.001366,0.000000,0.000000,20,276
8.0750,0.000000,0.000000,0.002536,0.001134,0.000543,0.001038,20,276
8.1250,0.009239,0.006221,0.003804,0.001462,0.011051,0.010563,20,276
8.1750,0.002174,0.004153,0.004348,0.001782,0.000181,0.000346,20,276
8.2250,0.000000,0.000000,0.002355,0.000909,0.004891,0.009344,20,276
8.2750,0.000000,0.000000,0.004529,0.002001,0.004529,0.005960,20,276
8.3250,0.000000,0.000000,0.004710,0.001886,0.000000,0.000000,20,276
8.3750,0.000000,0.000000,0.003804,0.002272,0.000000,0.000000,20,276
8.4250,0.000000,0.000000,0.004167,0.001759,0.000000,0.000000,20,276
8.4750,0.000000,0.000000,0.004891,0.001830,0.000000,0.000000,20,276
8.5250,0.000000,0.000000,0.004167,0.001529,0.000000,0.000000,20,276
8.5750,0.000000,0.000000,0.003261,0.001498,0.000000,0.000000,20,276
8.6250,0.000000,0.000000,0.004348,0.001473,0.000000,0.000000,20,276
8.6750,0.000000,0.000000,0.003623,0.001739,0.000000,0.000000,20,276
8.7250,0.000000,0.000000,0.002717,0.001109,0.001268,0.002423,20,276
8.7750,0.000000,0.000000,0.005616,0.002158,0.000000,0.000000,20,276
8.8250,0.017572,0.008888,0.002355,0.001354,0.020471,0.021571,20,276
8.8750,0.024819,0.011747,0.004167,0.002026,0.019384,0.015083,20,276
8.9250,0.000000,0.000000,0.003442,0.001546,0.002174,0.004153,20,276
8.9750,0.000000,0.000000,0.002536,0.001017,0.000000,0.000000,20,276
9.0250,0.000000,0.000000,0.004529,0.002123,0.000000,0.000000,20,276
9.0750,0.002174,0.002268,0.003442,0.001546,0.008696,0.016612,20,276
9.1250,0.000000,0.000000,0.005254,0.001975,0.000000,0.000000,20,276
9.1750,0.000000,0.000000,0.003804,0.000936,0.007065,0.013497,20,276
9.2250,0.000000,0.000000,0.003623,0.001879,0.000000,0.000000,20,276
9.2750,0.000000,0.000000,0.002717,0.001217,0.000000,0.000000,20,276
9.3250,0.000000,0.000000,0.003080,0.001529,0.000362,0.000692,20,276
9.3750,0.000000,0.000000,0.003804,0.001062,0.000000,0.000000,20,276
9.4250,0.000000,0.000000,0.002899,0.001188,0.005616,0.010729,20,276
9.4750,0.000000,0.000000,0.003080,0.001610,0.000000,0.000000,20,276
9.5250,0.000000,0.000000,0.004167,0.001444,0.000000,0.000000,20,276
9.5750,0.000000,0.000000,0.003623,0.001420,0.000000,0.000000,20,276
