# G(F)=a*H_soc+b*R_soc+c*H_soc*R_soc; H_soc=H_scene-mean_i H(singleton_i); R_soc=R_scene-mean_i R(singleton_i); scene includes adaptive voices plus fixed drone
step,baseline_g_scene,baseline_h_scene,baseline_h_single_mean,baseline_h_social,baseline_r_scene,baseline_r_single_mean,baseline_r_social,nohill_g_scene,nohill_h_scene,nohill_h_single_mean,nohill_h_social,nohill_r_scene,nohill_r_single_mean,nohill_r_social
162,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.205313,1.088034,1.167287,-0.079253,19.411901,0.000558,19.411343
163,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-25.838951,1.088429,1.167286,-0.078858,19.140522,0.000558,19.139963
164,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-25.809799,1.084623,1.167369,-0.082746,19.118929,0.000558,19.118370
165,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-25.683271,1.085287,1.167369,-0.082081,19.025202,0.000556,19.024645
166,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-25.682978,1.084476,1.167369,-0.082893,19.024984,0.000556,19.024427
167,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-25.705181,1.084446,1.167369,-0.082923,19.041430,0.000556,19.040874
168,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-25.752882,1.085172,1.167369,-0.082197,19.076763,0.000556,19.076208
169,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-25.711445,1.081929,1.167369,-0.085440,19.046072,0.000556,19.045515
170,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-25.796967,1.072032,1.167369,-0.095337,19.109419,0.000555,19.108864
171,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-25.847324,1.067717,1.167361,-0.099644,19.146715,0.000549,19.146166
172,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-25.747618,1.078205,1.167362,-0.089157,19.072859,0.000549,19.072309
173,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-25.756895,1.077850,1.167361,-0.089511,19.079731,0.000549,19.079182
174,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-25.763210,1.082453,1.167357,-0.084904,19.084408,0.000549,19.083858
175,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-25.700794,1.091072,1.167357,-0.076285,19.038174,0.000549,19.037624
176,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-25.703474,1.088040,1.167357,-0.079317,19.040159,0.000549,19.039610
177,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-25.704643,1.085296,1.167357,-0.082061,19.041025,0.000549,19.040476
178,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-25.917294,1.096376,1.167358,-0.070982,19.198544,0.000548,19.197994
179,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-25.950037,1.089247,1.167357,-0.078110,19.222799,0.000548,19.222250
180,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-25.959936,1.095568,1.167357,-0.071789,19.230131,0.000548,19.229582
181,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.123497,1.085739,1.167357,-0.081618,19.351288,0.000550,19.350739
182,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.137552,1.092150,1.167357,-0.075207,19.361698,0.000550,19.361149
183,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.098829,1.091460,1.167357,-0.075897,19.333015,0.000550,19.332466
184,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.096741,1.087358,1.167357,-0.079999,19.331469,0.000550,19.330919
185,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.134359,1.097710,1.167357,-0.069647,19.359335,0.000551,19.358784
186,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.170860,1.097961,1.167358,-0.069397,19.386374,0.000551,19.385822
187,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.134703,1.089094,1.167451,-0.078357,19.359591,0.000551,19.359039
188,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.050421,1.092830,1.167449,-0.074619,19.297157,0.000550,19.296608
189,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.060074,1.097237,1.167449,-0.070212,19.304308,0.000550,19.303759
190,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-26.033346,1.098013,1.167444,-0.069431,19.284510,0.000550,19.283960
191,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-25.877386,1.097716,1.167444,-0.069728,19.168983,0.000550,19.168434
192,-9.203688,1.565046,1.167632,0.397413,10.079591,0.000614,10.078978,-25.859043,1.101175,1.167444,-0.066269,19.155396,0.000550,19.154846
