bin_center,mean_frac,std_frac,n_seeds,n_pairs,mean_count,std_count
7.2250,0.000000,0.000000,20,276,0.000000,0.000000
7.2750,0.000000,0.000000,20,276,0.000000,0.000000
7.3250,0.000000,0.000000,20,276,0.000000,0.000000
7.3750,0.000000,0.000000,20,276,0.000000,0.000000
7.4250,0.000000,0.000000,20,276,0.000000,0.000000
7.4750,0.000000,0.000000,20,276,0.000000,0.000000
7.5250,0.000000,0.000000,20,276,0.000000,0.000000
7.5750,0.000000,0.000000,20,276,0.000000,0.000000
7.6250,0.000000,0.000000,20,276,0.000000,0.000000
7.6750,0.000000,0.000000,20,276,0.000000,0.000000
7.7250,0.000181,0.000790,20,276,0.050000,0.217945
7.7750,0.000000,0.000000,20,276,0.000000,0.000000
7.8250,0.000000,0.000000,20,276,0.000000,0.000000
7.8750,0.000000,0.000000,20,276,0.000000,0.000000
7.9250,0.000000,0.000000,20,276,0.000000,0.000000
7.9750,0.000000,0.000000,20,276,0.000000,0.000000
8.0250,0.000000,0.000000,20,276,0.000000,0.000000
8.0750,0.000000,0.000000,20,276,0.000000,0.000000
8.1250,0.004348,0.013043,20,276,1.200000,3.600000
8.1750,0.000362,0.001579,20,276,0.100000,0.435890
8.2250,0.000000,0.000000,20,276,0.000000,0.000000
8.2750,0.000000,0.000000,20,276,0.000000,0.000000
8.3250,0.000000,0.000000,20,276,0.000000,0.000000
8.3750,0.000000,0.000000,20,276,0.000000,0.000000
8.4250,0.000000,0.000000,20,276,0.000000,0.000000
8.4750,0.000000,0.000000,20,276,0.000000,0.000000
8.5250,0.000000,0.000000,20,276,0.000000,0.000000
8.5750,0.000000,0.000000,20,276,0.000000,0.000000
8.6250,0.000000,0.000000,20,276,0.000000,0.000000
8.6750,0.000000,0.000000,20,276,0.000000,0.000000
8.7250,0.000000,0.000000,20,276,0.000000,0.000000
8.7750,0.000000,0.000000,20,276,0.000000,0.000000
8.8250,0.007609,0.022244,20,276,2.100000,6.139218
8.8750,0.001812,0.004654,20,276,0.500000,1.284523
8.9250,0.000000,0.000000,20,276,0.000000,0.000000
8.9750,0.000000,0.000000,20,276,0.000000,0.000000
9.0250,0.000000,0.000000,20,276,0.000000,0.000000
9.0750,0.000725,0.003159,20,276,0.200000,0.871780
9.1250,0.000000,0.000000,20,276,0.000000,0.000000
9.1750,0.000000,0.000000,20,276,0.000000,0.000000
9.2250,0.000000,0.000000,20,276,0.000000,0.000000
9.2750,0.000000,0.000000,20,276,0.000000,0.000000
9.3250,0.003804,0.011077,20,276,1.050000,3.057368
9.3750,0.000000,0.000000,20,276,0.000000,0.000000
9.4250,0.000000,0.000000,20,276,0.000000,0.000000
9.4750,0.000000,0.000000,20,276,0.000000,0.000000
9.5250,0.000000,0.000000,20,276,0.000000,0.000000
9.5750,0.000000,0.000000,20,276,0.000000,0.000000
9.6250,0.000000,0.000000,20,276,0.000000,0.000000
9.6750,0.021014,0.046788,20,276,5.800000,12.913559
9.7250,0.000000,0.000000,20,276,0.000000,0.000000
9.7750,0.000000,0.000000,20,276,0.000000,0.000000
9.8250,0.000000,0.000000,20,276,0.000000,0.000000
9.8750,0.000000,0.000000,20,276,0.000000,0.000000
9.9250,0.000000,0.000000,20,276,0.000000,0.000000
9.9750,0.003080,0.005645,20,276,0.850000,1.558044
10.0250,0.000000,0.000000,20,276,0.000000,0.000000
10.0750,0.000000,0.000000,20,276,0.000000,0.000000
10.1250,0.000000,0.000000,20,276,0.000000,0.000000
10.1750,0.000362,0.001579,20,276,0.100000,0.435890
10.2250,0.000000,0.000000,20,276,0.000000,0.000000
10.2750,0.000000,0.000000,20,276,0.000000,0.000000
10.3250,0.000000,0.000000,20,276,0.000000,0.000000
10.3750,0.000000,0.000000,20,276,0.000000,0.000000
10.4250,0.000000,0.000000,20,276,0.000000,0.000000
10.4750,0.000000,0.000000,20,276,0.000000,0.000000
10.5250,0.001812,0.007897,20,276,0.500000,2.179450
10.5750,0.000000,0.000000,20,276,0.000000,0.000000
10.6250,0.000000,0.000000,20,276,0.000000,0.000000
10.6750,0.000000,0.000000,20,276,0.000000,0.000000
10.7250,0.000000,0.000000,20,276,0.000000,0.000000
10.7750,0.000000,0.000000,20,276,0.000000,0.000000
10.8250,0.000000,0.000000,20,276,0.000000,0.000000
10.8750,0.015036,0.024554,20,276,4.150000,6.776983
10.9250,0.000000,0.000000,20,276,0.000000,0.000000
10.9750,0.000000,0.000000,20,276,0.000000,0.000000
11.0250,0.000000,0.000000,20,276,0.000000,0.000000
11.0750,0.000000,0.000000,20,276,0.000000,0.000000
11.1250,0.000000,0.000000,20,276,0.000000,0.000000
11.1750,0.000000,0.000000,20,276,0.000000,0.000000
11.2250,0.000000,0.000000,20,276,0.000000,0.000000
11.2750,0.000000,0.000000,20,276,0.000000,0.000000
11.3250,0.000000,0.000000,20,276,0.000000,0.000000
11.3750,0.000000,0.000000,20,276,0.000000,0.000000
11.4250,0.000000,0.000000,20,276,0.000000,0.000000
11.4750,0.000000,0.000000,20,276,0.000000,0.000000
11.5250,0.000000,0.000000,20,276,0.000000,0.000000
11.5750,0.000000,0.000000,20,276,0.000000,0.000000
11.6250,0.000000,0.000000,20,276,0.000000,0.000000
11.6750,0.000000,0.000000,20,276,0.000000,0.000000
11.7250,0.000000,0.000000,20,276,0.000000,0.000000
11.7750,0.000000,0.000000,20,276,0.000000,0.000000
11.8250,0.000000,0.000000,20,276,0.000000,0.000000
11.8750,0.000000,0.000000,20,276,0.000000,0.000000
11.9250,0.000000,0.000000,20,276,0.000000,0.000000
11.9750,0.042210,0.053975,20,276,11.650000,14.897231
