cond,seed,segment,pingpong_rate_moves,reversal_rate_moves,move_rate_stepwise,mean_abs_delta_moved,step_count,moved_step_count,move_count,pingpong_count_moves,reversal_count_moves
nohill,2882400001,pre,0.064748,0.489209,0.483974,0.131227,312,151,163,9,68
nohill,2882400001,post,0.063745,0.422311,0.478261,0.136801,552,264,275,16,106
nohill,202374880,pre,0.090226,0.473684,0.467949,0.127261,312,146,157,12,63
nohill,202374880,post,0.065844,0.481481,0.463768,0.124494,552,256,267,16,117
nohill,324508639,pre,0.029197,0.386861,0.480769,0.133789,312,150,161,4,53
nohill,324508639,post,0.086777,0.549587,0.465580,0.137030,552,257,266,21,133
nohill,610839776,pre,0.082707,0.503759,0.464744,0.140828,312,145,157,11,67
nohill,610839776,post,0.075099,0.549407,0.481884,0.132238,552,266,277,19,139
nohill,3134984190,pre,0.044118,0.507353,0.474359,0.137250,312,148,160,6,69
nohill,3134984190,post,0.060484,0.500000,0.471014,0.137427,552,260,272,15,124
nohill,270544960,pre,0.075188,0.503759,0.471154,0.124586,312,147,157,10,67
nohill,270544960,post,0.086957,0.490119,0.481884,0.133213,552,266,277,22,124
nohill,1432778632,pre,0.078740,0.480315,0.451923,0.143046,312,141,151,10,61
nohill,1432778632,post,0.043825,0.482072,0.476449,0.130909,552,263,275,11,121
nocrowd,12648430,pre,0.048611,0.465278,0.500000,0.143750,312,156,168,7,67
nocrowd,12648430,post,0.000000,0.454545,0.041667,1.252726,552,23,33,0,5
nocrowd,2779096485,pre,0.064286,0.464286,0.487179,0.137013,312,152,164,9,65
nocrowd,2779096485,post,0.000000,0.454545,0.036232,0.989064,552,20,32,0,5
nocrowd,464367618,pre,0.027972,0.496504,0.496795,0.144611,312,155,167,4,71
nocrowd,464367618,post,0.250000,0.562500,0.048913,1.350810,552,27,37,4,9
nocrowd,3735928559,pre,0.246269,0.731343,0.467949,0.137089,312,146,158,33,98
nocrowd,3735928559,post,0.000000,0.000000,0.021739,1.093753,552,12,24,0,0
nocrowd,4207869677,pre,0.064286,0.564286,0.487179,0.148353,312,152,164,9,79
nocrowd,4207869677,post,0.250000,0.625000,0.030797,1.563106,552,17,29,2,5
nocrowd,305441741,pre,0.042553,0.588652,0.490385,0.136545,312,153,165,6,83
nocrowd,305441741,post,0.000000,0.111111,0.032609,1.262999,552,18,30,0,1
nocrowd,826366246,pre,0.108696,0.565217,0.480769,0.126481,312,150,162,15,78
nocrowd,826366246,post,0.352941,0.823529,0.052536,1.232928,552,29,41,6,14
nocrowd,655894552,pre,0.107143,0.535714,0.487179,0.128048,312,152,164,15,75
nocrowd,655894552,post,0.250000,0.250000,0.028986,1.269231,552,16,26,1,1
nocrowd,3405691582,pre,0.049296,0.542253,0.493590,0.131385,312,154,166,7,77
nocrowd,3405691582,post,0.250000,0.500000,0.021739,1.094999,552,12,24,1,2
nocrowd,2654435769,pre,0.121429,0.514286,0.490385,0.161342,312,153,164,17,72
nocrowd,2654435769,post,0.500000,0.500000,0.016304,1.318571,552,9,21,1,1
nocrowd,252645135,pre,0.028169,0.514085,0.493590,0.143674,312,154,166,4,73
nocrowd,252645135,post,0.045455,0.318182,0.057971,1.210909,552,32,44,1,7
nocrowd,1437226410,pre,0.267717,0.637795,0.451923,0.096556,312,141,151,34,81
nocrowd,1437226410,post,0.117647,0.529412,0.048913,1.315385,552,27,39,2,9
nocrowd,2271560481,pre,0.091549,0.542253,0.493590,0.150542,312,154,166,13,77
nocrowd,2271560481,post,0.000000,0.250000,0.047101,1.476316,552,26,38,0,4
nocrowd,2882400001,pre,0.027972,0.622378,0.496795,0.148563,312,155,167,4,89
nocrowd,2882400001,post,0.620690,0.827586,0.068841,1.433401,552,38,50,18,24
nocrowd,202374880,pre,0.099291,0.546099,0.493590,0.144726,312,154,165,14,77
nocrowd,202374880,post,0.000000,0.357143,0.043478,1.141665,552,24,36,0,5
nocrowd,324508639,pre,0.048611,0.618056,0.500000,0.145178,312,156,168,7,89
nocrowd,324508639,post,0.000000,0.250000,0.021739,0.968750,552,12,24,0,1
nocrowd,610839776,pre,0.176471,0.676471,0.474359,0.146250,312,148,160,24,92
nocrowd,610839776,post,0.130435,0.608696,0.065217,1.012339,552,36,47,3,14
nocrowd,3134984190,pre,0.036765,0.536765,0.477564,0.119063,312,149,160,5,73
nocrowd,3134984190,post,0.250000,0.333333,0.043478,1.428333,552,24,36,3,4
nocrowd,270544960,pre,0.027778,0.486111,0.500000,0.141071,312,156,168,4,70
nocrowd,270544960,post,0.000000,0.642857,0.047101,0.954860,552,26,35,0,9
nocrowd,1432778632,pre,0.143939,0.583333,0.464744,0.108462,312,145,156,19,77
nocrowd,1432778632,post,0.100000,0.300000,0.038043,1.219091,552,21,33,1,3
