bin_center,mean_frac,std_frac,n_seeds,mean_count,std_count
-11.7500,0.029676,0.028307,20,64.099998,61.142380
-11.2500,0.026111,0.019375,20,56.400002,41.850204
-10.7500,0.022477,0.021508,20,48.549999,46.456944
-10.2500,0.025648,0.017033,20,55.400002,36.791843
-9.7500,0.021435,0.022325,20,46.299999,48.222507
-9.2500,0.014167,0.009880,20,30.600000,21.341040
-8.7500,0.019213,0.017306,20,41.500000,37.381145
-8.2500,0.017037,0.016504,20,36.799999,35.647720
-7.7500,0.020394,0.021496,20,44.049999,46.432186
-7.2500,0.017176,0.019438,20,37.099998,41.985592
-6.7500,0.014699,0.014577,20,31.750000,31.486305
-6.2500,0.016319,0.017616,20,35.250000,38.051117
-5.7500,0.016111,0.018986,20,34.799999,41.009270
-5.2500,0.015625,0.017679,20,33.750000,38.186222
-4.7500,0.018634,0.015623,20,40.250000,33.745926
-4.2500,0.021736,0.017415,20,46.950001,37.617119
-3.7500,0.014537,0.015635,20,31.400000,33.771881
-3.2500,0.018264,0.013469,20,39.450001,29.093769
-2.7500,0.025509,0.022794,20,55.099998,49.235050
-2.2500,0.021690,0.019500,20,46.849998,42.120396
-1.7500,0.027593,0.019825,20,59.599998,42.821022
-1.2500,0.025046,0.023979,20,54.099998,51.795658
-0.7500,0.033750,0.020052,20,72.900002,43.311543
-0.2500,0.024028,0.016101,20,51.900002,34.779160
0.2500,0.022315,0.015364,20,48.200001,33.185238
0.7500,0.028912,0.022502,20,62.450001,48.605015
1.2500,0.021782,0.017971,20,47.049999,38.816845
1.7500,0.030764,0.018535,20,66.449997,40.035587
2.2500,0.025023,0.020025,20,54.049999,43.253296
2.7500,0.018866,0.013658,20,40.750000,29.502329
3.2500,0.020116,0.016505,20,43.450001,35.651752
3.7500,0.005671,0.007432,20,12.250000,16.052649
4.2500,0.021597,0.013778,20,46.650002,29.761171
4.7500,0.019977,0.014185,20,43.150002,30.640291
5.2500,0.020764,0.017427,20,44.849998,37.642097
5.7500,0.023171,0.020265,20,50.049999,43.772678
6.2500,0.023588,0.028261,20,50.950001,61.043816
6.7500,0.015255,0.014151,20,32.950001,30.565462
7.2500,0.017546,0.024177,20,37.900002,52.222504
7.7500,0.011667,0.012891,20,25.200001,27.845287
8.2500,0.016921,0.022384,20,36.549999,48.349224
8.7500,0.012199,0.013984,20,26.350000,30.206415
9.2500,0.020694,0.016245,20,44.700001,35.088600
9.7500,0.014954,0.014560,20,32.299999,31.450121
10.2500,0.027130,0.016240,20,58.599998,35.077629
10.7500,0.025093,0.015925,20,54.200001,34.398544
11.2500,0.026690,0.020693,20,57.650002,44.697063
11.7500,0.022431,0.020597,20,48.450001,44.489857
