mirror_weight,seed,root_affinity,overtone_affinity,binding_strength,harmonic_tilt
0.400,12648458,0.397126,0.384875,0.782002,0.015666
0.400,12648459,0.396050,0.380363,0.776413,0.020204
0.500,12648440,0.402334,0.385748,0.788082,0.021046
0.500,12648441,0.390659,0.370988,0.761646,0.025827
0.500,12648442,0.388148,0.362329,0.750477,0.034403
0.500,12648443,0.392885,0.380198,0.773083,0.016410
0.500,12648444,0.389480,0.369167,0.758647,0.026774
0.500,12648445,0.388643,0.369767,0.758410,0.024889
0.500,12648446,0.392116,0.379433,0.771550,0.016438
0.500,12648447,0.391759,0.371076,0.762835,0.027113
0.500,12648448,0.382904,0.357896,0.740800,0.033759
0.500,12648449,0.386223,0.362008,0.748231,0.032363
0.500,12648450,0.387190,0.370097,0.757286,0.022571
0.500,12648451,0.401375,0.380522,0.781897,0.026671
0.500,12648452,0.382744,0.359010,0.741754,0.031998
0.500,12648453,0.388136,0.370175,0.758310,0.023685
0.500,12648454,0.386046,0.364226,0.750272,0.029083
0.500,12648455,0.383226,0.362031,0.745257,0.028440
0.500,12648456,0.386286,0.364412,0.750698,0.029137
0.500,12648457,0.390474,0.366288,0.756762,0.031960
0.500,12648458,0.397314,0.385286,0.782601,0.015369
0.500,12648459,0.396697,0.380803,0.777500,0.020442
0.600,12648440,0.397302,0.379790,0.777092,0.022535
0.600,12648441,0.389541,0.370546,0.760087,0.024991
0.600,12648442,0.386974,0.361129,0.748103,0.034547
0.600,12648443,0.385980,0.372613,0.758593,0.017621
0.600,12648444,0.387832,0.367201,0.755033,0.027325
0.600,12648445,0.390228,0.371542,0.761770,0.024531
0.600,12648446,0.392564,0.380506,0.773070,0.015599
0.600,12648447,0.394813,0.376155,0.770969,0.024201
0.600,12648448,0.386433,0.364674,0.751107,0.028969
0.600,12648449,0.386919,0.363330,0.750248,0.031441
0.600,12648450,0.390918,0.377849,0.768767,0.017000
0.600,12648451,0.398174,0.375780,0.773954,0.028935
0.600,12648452,0.383645,0.359560,0.743204,0.032407
0.600,12648453,0.387721,0.370506,0.758227,0.022705
0.600,12648454,0.386685,0.366485,0.753170,0.026820
0.600,12648455,0.385415,0.365125,0.750540,0.027033
0.600,12648456,0.385523,0.363862,0.749385,0.028904
0.600,12648457,0.382166,0.355491,0.737657,0.036162
0.600,12648458,0.393653,0.379589,0.773242,0.018188
0.600,12648459,0.398236,0.382874,0.781110,0.019667
0.700,12648440,0.396238,0.378400,0.774639,0.023028
0.700,12648441,0.391232,0.373236,0.764468,0.023541
0.700,12648442,0.387492,0.362255,0.749747,0.033662
0.700,12648443,0.384710,0.367726,0.752436,0.022573
0.700,12648444,0.387468,0.366548,0.754016,0.027745
0.700,12648445,0.388549,0.369706,0.758255,0.024851
0.700,12648446,0.393628,0.382061,0.775689,0.014912
0.700,12648447,0.392555,0.371773,0.764327,0.027189
0.700,12648448,0.384786,0.363417,0.748203,0.028561
0.700,12648449,0.385886,0.363512,0.749398,0.029856
0.700,12648450,0.391292,0.374981,0.766273,0.021287
0.700,12648451,0.401540,0.381521,0.783062,0.025564
0.700,12648452,0.383645,0.359560,0.743204,0.032407
0.700,12648453,0.384153,0.363398,0.747551,0.027764
0.700,12648454,0.388198,0.368501,0.756700,0.026030
0.700,12648455,0.385623,0.364312,0.749935,0.028418
0.700,12648456,0.382583,0.357437,0.740021,0.033980
0.700,12648457,0.386789,0.360903,0.747692,0.034621
0.700,12648458,0.386879,0.370692,0.757571,0.021367
0.700,12648459,0.397969,0.381902,0.779871,0.020602
0.800,12648440,0.396239,0.377218,0.773457,0.024593
0.800,12648441,0.393243,0.378041,0.771284,0.019710
0.800,12648442,0.387772,0.362825,0.750597,0.033237
0.800,12648443,0.389985,0.377107,0.767091,0.016788
0.800,12648444,0.387086,0.368089,0.755175,0.025157
0.800,12648445,0.386723,0.369671,0.756394,0.022545
0.800,12648446,0.392449,0.380985,0.773434,0.014823
0.800,12648447,0.395870,0.378239,0.774109,0.022776
0.800,12648448,0.384916,0.363554,0.748470,0.028541
0.800,12648449,0.387498,0.366548,0.754046,0.027784
0.800,12648450,0.394809,0.382155,0.776964,0.016287
0.800,12648451,0.402858,0.382710,0.785568,0.025647
0.800,12648452,0.381767,0.357768,0.739535,0.032451
0.800,12648453,0.384297,0.364122,0.748419,0.026956
0.800,12648454,0.393666,0.375640,0.769306,0.023431
0.800,12648455,0.388619,0.368154,0.756773,0.027043
0.800,12648456,0.385836,0.361004,0.746840,0.033250
0.800,12648457,0.388535,0.363487,0.752022,0.033307
0.800,12648458,0.388347,0.372244,0.760590,0.021172
0.800,12648459,0.403971,0.390283,0.794255,0.017234
0.900,12648440,0.396239,0.377218,0.773457,0.024593
0.900,12648441,0.393379,0.377975,0.771354,0.019970
0.900,12648442,0.388170,0.363714,0.751884,0.032526
0.900,12648443,0.389985,0.377107,0.767091,0.016788
0.900,12648444,0.382860,0.365006,0.747866,0.023872
0.900,12648445,0.390503,0.377145,0.767648,0.017401
0.900,12648446,0.392880,0.381981,0.774861,0.014066
0.900,12648447,0.392528,0.372605,0.765133,0.026038
0.900,12648448,0.385121,0.363962,0.749083,0.028247
0.900,12648449,0.389686,0.369466,0.759152,0.026636
0.900,12648450,0.397695,0.386690,0.784385,0.014030
0.900,12648451,0.405674,0.388962,0.794637,0.021031
0.900,12648452,0.380066,0.356767,0.736832,0.031620
0.900,12648453,0.378797,0.357935,0.736732,0.028318
0.900,12648454,0.393280,0.372621,0.765901,0.026972
0.900,12648455,0.390159,0.371276,0.761435,0.024800
0.900,12648456,0.389111,0.364794,0.753905,0.032256
0.900,12648457,0.391435,0.366496,0.757931,0.032904
0.900,12648458,0.388176,0.374743,0.762919,0.017607
0.900,12648459,0.399128,0.383002,0.782130,0.020618
1.000,12648440,0.393492,0.373283,0.766775,0.026356
1.000,12648441,0.386850,0.369952,0.756802,0.022328
1.000,12648442,0.388170,0.363714,0.751884,0.032526
1.000,12648443,0.391230,0.378952,0.770182,0.015942
