env_partials,env_partial_decay,mirror_weight,seed,harmonic_tilt
3,0.600000,0.600,12648458,0.030131
3,0.600000,0.600,12648459,0.032526
3,0.600000,0.700,12648440,0.028221
3,0.600000,0.700,12648441,0.036153
3,0.600000,0.700,12648442,0.036793
3,0.600000,0.700,12648443,0.033084
3,0.600000,0.700,12648444,0.036731
3,0.600000,0.700,12648445,0.031969
3,0.600000,0.700,12648446,0.035167
3,0.600000,0.700,12648447,0.036925
3,0.600000,0.700,12648448,0.037553
3,0.600000,0.700,12648449,0.036010
3,0.600000,0.700,12648450,0.035730
3,0.600000,0.700,12648451,0.033673
3,0.600000,0.700,12648452,0.045057
3,0.600000,0.700,12648453,0.033022
3,0.600000,0.700,12648454,0.032649
3,0.600000,0.700,12648455,0.033040
3,0.600000,0.700,12648456,0.039364
3,0.600000,0.700,12648457,0.034004
3,0.600000,0.700,12648458,0.032501
3,0.600000,0.700,12648459,0.032898
3,0.600000,0.800,12648440,0.028406
3,0.600000,0.800,12648441,0.030262
3,0.600000,0.800,12648442,0.034581
3,0.600000,0.800,12648443,0.032247
3,0.600000,0.800,12648444,0.034392
3,0.600000,0.800,12648445,0.030526
3,0.600000,0.800,12648446,0.025340
3,0.600000,0.800,12648447,0.028798
3,0.600000,0.800,12648448,0.037893
3,0.600000,0.800,12648449,0.036234
3,0.600000,0.800,12648450,0.026665
3,0.600000,0.800,12648451,0.032157
3,0.600000,0.800,12648452,0.042930
3,0.600000,0.800,12648453,0.031488
3,0.600000,0.800,12648454,0.033635
3,0.600000,0.800,12648455,0.028128
3,0.600000,0.800,12648456,0.037093
3,0.600000,0.800,12648457,0.032054
3,0.600000,0.800,12648458,0.031971
3,0.600000,0.800,12648459,0.029943
3,0.600000,0.900,12648440,0.028406
3,0.600000,0.900,12648441,0.030984
3,0.600000,0.900,12648442,0.035182
3,0.600000,0.900,12648443,0.032247
3,0.600000,0.900,12648444,0.029427
3,0.600000,0.900,12648445,0.027507
3,0.600000,0.900,12648446,0.024211
3,0.600000,0.900,12648447,0.034180
3,0.600000,0.900,12648448,0.037312
3,0.600000,0.900,12648449,0.032818
3,0.600000,0.900,12648450,0.022548
3,0.600000,0.900,12648451,0.027883
3,0.600000,0.900,12648452,0.040862
3,0.600000,0.900,12648453,0.034087
3,0.600000,0.900,12648454,0.036796
3,0.600000,0.900,12648455,0.027683
3,0.600000,0.900,12648456,0.038073
3,0.600000,0.900,12648457,0.034201
3,0.600000,0.900,12648458,0.027448
3,0.600000,0.900,12648459,0.033955
3,0.600000,1.000,12648440,0.032114
3,0.600000,1.000,12648441,0.035237
3,0.600000,1.000,12648442,0.035182
3,0.600000,1.000,12648443,0.028989
3,0.600000,1.000,12648444,0.035143
3,0.600000,1.000,12648445,0.023031
3,0.600000,1.000,12648446,0.034419
3,0.600000,1.000,12648447,0.035073
3,0.600000,1.000,12648448,0.036517
3,0.600000,1.000,12648449,0.034720
3,0.600000,1.000,12648450,0.022548
3,0.600000,1.000,12648451,0.027973
3,0.600000,1.000,12648452,0.036923
3,0.600000,1.000,12648453,0.040840
3,0.600000,1.000,12648454,0.032552
3,0.600000,1.000,12648455,0.029584
3,0.600000,1.000,12648456,0.040367
3,0.600000,1.000,12648457,0.031742
3,0.600000,1.000,12648458,0.029030
3,0.600000,1.000,12648459,0.034607
3,1.000000,0.000,12648440,0.034366
3,1.000000,0.000,12648441,0.040450
3,1.000000,0.000,12648442,0.039413
3,1.000000,0.000,12648443,0.039507
3,1.000000,0.000,12648444,0.034609
3,1.000000,0.000,12648445,0.038995
3,1.000000,0.000,12648446,0.031170
3,1.000000,0.000,12648447,0.030353
3,1.000000,0.000,12648448,0.042990
3,1.000000,0.000,12648449,0.042545
3,1.000000,0.000,12648450,0.032627
3,1.000000,0.000,12648451,0.037894
3,1.000000,0.000,12648452,0.046333
3,1.000000,0.000,12648453,0.034491
3,1.000000,0.000,12648454,0.045263
3,1.000000,0.000,12648455,0.037860
3,1.000000,0.000,12648456,0.042884
3,1.000000,0.000,12648457,0.047815
3,1.000000,0.000,12648458,0.031544
3,1.000000,0.000,12648459,0.035790
3,1.000000,0.100,12648440,0.032502
3,1.000000,0.100,12648441,0.041718
3,1.000000,0.100,12648442,0.036600
3,1.000000,0.100,12648443,0.035574
3,1.000000,0.100,12648444,0.033953
3,1.000000,0.100,12648445,0.036809
3,1.000000,0.100,12648446,0.035361
3,1.000000,0.100,12648447,0.033808
3,1.000000,0.100,12648448,0.043367
3,1.000000,0.100,12648449,0.041246
3,1.000000,0.100,12648450,0.038373
3,1.000000,0.100,12648451,0.035009
3,1.000000,0.100,12648452,0.044098
3,1.000000,0.100,12648453,0.037703
3,1.000000,0.100,12648454,0.040983
3,1.000000,0.100,12648455,0.040325
3,1.000000,0.100,12648456,0.038378
3,1.000000,0.100,12648457,0.044378
3,1.000000,0.100,12648458,0.030848
3,1.000000,0.100,12648459,0.031416
3,1.000000,0.200,12648440,0.026067
3,1.000000,0.200,12648441,0.034141
3,1.000000,0.200,12648442,0.034822
3,1.000000,0.200,12648443,0.034679
3,1.000000,0.200,12648444,0.033024
3,1.000000,0.200,12648445,0.041698
3,1.000000,0.200,12648446,0.038968
3,1.000000,0.200,12648447,0.038455
3,1.000000,0.200,12648448,0.045044
3,1.000000,0.200,12648449,0.041687
3,1.000000,0.200,12648450,0.035359
3,1.000000,0.200,12648451,0.032824
3,1.000000,0.200,12648452,0.043738
3,1.000000,0.200,12648453,0.031872
3,1.000000,0.200,12648454,0.042276
3,1.000000,0.200,12648455,0.029101
3,1.000000,0.200,12648456,0.037098
3,1.000000,0.200,12648457,0.036578
3,1.000000,0.200,12648458,0.028241
3,1.000000,0.200,12648459,0.036957
3,1.000000,0.300,12648440,0.029772
3,1.000000,0.300,12648441,0.039113
3,1.000000,0.300,12648442,0.039680
3,1.000000,0.300,12648443,0.028946
3,1.000000,0.300,12648444,0.033082
3,1.000000,0.300,12648445,0.036796
3,1.000000,0.300,12648446,0.036181
3,1.000000,0.300,12648447,0.040073
3,1.000000,0.300,12648448,0.043535
3,1.000000,0.300,12648449,0.040480
3,1.000000,0.300,12648450,0.037075
3,1.000000,0.300,12648451,0.036549
3,1.000000,0.300,12648452,0.043109
3,1.000000,0.300,12648453,0.030320
3,1.000000,0.300,12648454,0.043402
3,1.000000,0.300,12648455,0.028392
3,1.000000,0.300,12648456,0.036990
3,1.000000,0.300,12648457,0.029099
3,1.000000,0.300,12648458,0.026021
3,1.000000,0.300,12648459,0.035123
3,1.000000,0.400,12648440,0.028103
3,1.000000,0.400,12648441,0.031147
3,1.000000,0.400,12648442,0.039137
3,1.000000,0.400,12648443,0.030849
3,1.000000,0.400,12648444,0.033390
3,1.000000,0.400,12648445,0.035099
3,1.000000,0.400,12648446,0.034071
3,1.000000,0.400,12648447,0.036200
3,1.000000,0.400,12648448,0.042487
3,1.000000,0.400,12648449,0.039049
3,1.000000,0.400,12648450,0.040763
3,1.000000,0.400,12648451,0.036549
3,1.000000,0.400,12648452,0.041848
3,1.000000,0.400,12648453,0.033528
3,1.000000,0.400,12648454,0.036285
3,1.000000,0.400,12648455,0.030632
3,1.000000,0.400,12648456,0.036533
3,1.000000,0.400,12648457,0.026589
3,1.000000,0.400,12648458,0.027644
3,1.000000,0.400,12648459,0.033321
3,1.000000,0.500,12648440,0.028030
3,1.000000,0.500,12648441,0.041305
3,1.000000,0.500,12648442,0.037771
3,1.000000,0.500,12648443,0.036046
3,1.000000,0.500,12648444,0.035608
3,1.000000,0.500,12648445,0.032435
3,1.000000,0.500,12648446,0.033776
3,1.000000,0.500,12648447,0.039078
3,1.000000,0.500,12648448,0.043494
3,1.000000,0.500,12648449,0.041717
3,1.000000,0.500,12648450,0.034836
3,1.000000,0.500,12648451,0.034722
3,1.000000,0.500,12648452,0.040129
3,1.000000,0.500,12648453,0.032457
3,1.000000,0.500,12648454,0.034895
3,1.000000,0.500,12648455,0.035317
3,1.000000,0.500,12648456,0.039161
3,1.000000,0.500,12648457,0.029124
3,1.000000,0.500,12648458,0.027104
3,1.000000,0.500,12648459,0.034700
3,1.000000,0.600,12648440,0.030033
3,1.000000,0.600,12648441,0.037743
3,1.000000,0.600,12648442,0.038699
3,1.000000,0.600,12648443,0.029732
3,1.000000,0.600,12648444,0.037720
3,1.000000,0.600,12648445,0.033948
3,1.000000,0.600,12648446,0.029439
3,1.000000,0.600,12648447,0.036737
3,1.000000,0.600,12648448,0.037011
3,1.000000,0.600,12648449,0.039137
3,1.000000,0.600,12648450,0.031576
3,1.000000,0.600,12648451,0.039476
3,1.000000,0.600,12648452,0.046386
