life_id,agent_id,birth_step,death_step,lifetime_steps,c_score_birth,c_score_firstk,avg_c_score_tick,c_score_std_over_life,avg_c_score_attack,c_level01_birth,c_level01_firstk,avg_c_level01_tick,c_level01_std_over_life,avg_c_level01_attack,attack_tick_count
43,8,192,431,239,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,1
41,28,188,434,246,0.007521,0.007521,0.007521,0.000006,0.007521,0.503761,0.503761,0.503761,0.000518,0.503761,3
51,30,227,434,207,0.056342,0.056342,0.056342,0.000000,0.056342,0.528132,0.528132,0.528131,0.000752,0.528132,1
49,7,220,437,217,0.094334,0.094334,0.094334,0.000126,0.094334,0.547005,0.547005,0.547005,0.000000,0.547005,2
62,27,250,437,187,0.045476,0.045476,0.045476,0.000000,0.045476,0.522722,0.522722,0.522721,0.001050,0.522722,2
63,25,251,438,187,0.316038,0.316038,0.316037,0.000796,0.316037,0.652842,0.652842,0.652840,0.001119,0.652840,0
42,23,191,440,249,0.001069,0.001069,0.001069,0.000000,0.001069,0.500534,0.500534,0.500534,0.000000,0.500534,2
53,9,231,443,212,0.055040,0.055040,0.055040,0.000125,0.055040,0.527489,0.527489,0.527489,0.000000,0.527489,2
58,17,239,457,218,0.014505,0.014505,0.014505,0.000000,0.014505,0.507251,0.507251,0.507250,0.001292,0.507251,2
48,13,216,461,245,0.000007,0.000007,0.000007,0.000000,0.000007,0.500004,0.500004,0.500002,0.001348,0.500004,2
54,19,231,462,231,0.018668,0.018668,0.018668,0.000017,0.018668,0.509331,0.509331,0.509331,0.000646,0.509331,2
56,26,231,470,239,0.048175,0.048175,0.048175,0.000000,0.048175,0.524067,0.524067,0.524065,0.001495,0.524067,2
60,29,243,479,236,0.038834,0.038834,0.038834,0.000000,0.038834,0.519402,0.519402,0.519402,0.001021,0.519402,3
59,0,242,481,239,0.015410,0.015410,0.015410,0.000029,0.015410,0.507683,0.507683,0.507683,0.000000,0.507683,1
61,2,247,482,235,0.000004,0.000004,0.000004,0.000000,0.000004,0.500002,0.500002,0.500001,0.000712,0.500002,1
67,18,376,563,187,0.036794,0.036794,0.036794,0.000068,0.036794,0.518384,0.518384,0.518384,0.000000,0.518384,2
68,20,376,585,209,0.160368,0.160368,0.160368,0.000305,0.160368,0.579065,0.579065,0.579064,0.001050,0.579065,1
66,12,376,587,211,0.033743,0.033743,0.033743,0.000000,0.033743,0.516864,0.516864,0.516863,0.000880,0.516864,2
72,14,404,591,187,0.033911,0.033911,0.033911,0.000022,0.033911,0.516916,0.516916,0.516915,0.001392,0.516916,2
64,5,376,594,218,0.015962,0.015962,0.015962,0.000031,0.015962,0.507978,0.507978,0.507980,0.000000,0.507978,2
70,4,398,605,207,0.037289,0.037289,0.037289,0.000088,0.037289,0.518635,0.518635,0.518636,0.000000,0.518635,1
80,10,427,614,187,0.009729,0.009729,0.009729,0.000000,0.009729,0.504864,0.504864,0.504865,0.000000,0.504864,2
65,11,376,617,241,0.053824,0.053824,0.053824,0.000000,0.053824,0.526886,0.526886,0.526886,0.000000,0.526886,2
85,27,438,625,187,0.043452,0.043452,0.043452,0.000029,0.043452,0.521703,0.521703,0.521703,0.000000,0.521703,1
83,30,435,628,193,0.033741,0.033741,0.033741,0.000051,0.033741,0.516864,0.516864,0.516863,0.000712,0.516864,2
87,23,441,629,188,0.125333,0.125333,0.125333,0.000000,0.125333,0.561413,0.561413,0.561414,0.000000,0.561413,2
75,31,416,632,216,0.047300,0.047300,0.047300,0.000000,0.047300,0.523627,0.523627,0.523628,0.000000,0.523627,2
69,1,394,637,243,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,1
74,3,415,640,225,0.026944,0.026944,0.026944,0.000000,0.026944,0.513443,0.513443,0.513443,0.000000,0.513443,1
82,28,435,640,205,0.003138,0.003138,0.003138,0.000008,0.003138,0.501569,0.501569,0.501570,0.000000,0.501569,1
79,21,427,642,215,0.001362,0.001362,0.001362,0.000000,0.001362,0.500681,0.500681,0.500681,0.000863,0.500681,2
81,8,432,644,212,0.398631,0.398631,0.398631,0.000657,0.398631,0.687113,0.687113,0.687112,0.000000,0.687113,2
89,17,458,645,187,0.000123,0.000123,0.000123,0.000000,0.000123,0.500061,0.500061,0.500061,0.000000,0.500061,2
71,16,403,646,243,0.077989,0.077989,0.077989,0.000116,0.077989,0.538878,0.538878,0.538879,0.000000,0.538878,1
78,15,423,649,226,0.026489,0.026489,0.026489,0.000024,0.026489,0.513241,0.513241,0.513243,0.000000,0.513241,2
88,9,444,655,211,0.000449,0.000449,0.000449,0.000000,0.000449,0.500224,0.500224,0.500223,0.001171,0.500224,2
73,24,408,656,248,0.027170,0.027170,0.027170,0.000069,0.027170,0.513581,0.513581,0.513581,0.001132,0.513581,2
90,13,462,656,194,0.041775,0.041775,0.041775,0.000055,0.041775,0.520875,0.520876,0.520875,0.001132,0.520875,2
77,6,421,659,238,0.067664,0.067664,0.067663,0.000151,0.067664,0.533766,0.533766,0.533767,0.000000,0.533766,2
76,22,419,660,241,0.849267,0.849267,0.849269,0.000000,0.849267,0.831293,0.831293,0.831294,0.000000,0.831293,3
84,7,438,666,228,0.050424,0.050424,0.050424,0.000000,0.050424,0.525043,0.525043,0.525042,0.000810,0.525043,1
93,29,480,670,190,0.057530,0.057530,0.057530,0.000094,0.057530,0.528720,0.528720,0.528719,0.000828,0.528720,2
86,25,439,685,246,0.083094,0.083094,0.083094,0.000122,0.083094,0.541444,0.541444,0.541443,0.001171,0.541444,2
91,19,463,700,237,0.186370,0.186370,0.186371,0.000000,0.186370,0.590173,0.590173,0.590173,0.000772,0.590173,3
92,26,471,705,234,0.101375,0.101375,0.101375,0.000000,0.101375,0.550454,0.550454,0.550454,0.001196,0.550454,2
94,0,482,710,228,0.053903,0.053903,0.053903,0.000000,0.053903,0.526926,0.526925,0.526925,0.000573,0.526926,2
95,2,483,714,231,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,3
96,18,564,764,200,0.009523,0.009523,0.009523,0.000000,0.009523,0.504761,0.504761,0.504761,0.000423,0.504761,2
100,5,595,797,202,0.023545,0.023545,0.023545,0.000050,0.023545,0.511770,0.511770,0.511770,0.000518,0.511770,1
97,20,586,805,219,0.003374,0.003374,0.003374,0.000006,0.003374,0.501687,0.501687,0.501686,0.000930,0.501687,1
98,12,588,812,224,0.011721,0.011721,0.011721,0.000000,0.011721,0.505860,0.505860,0.505859,0.000386,0.505860,2
103,11,618,813,195,0.054290,0.054290,0.054290,0.000000,0.054290,0.527087,0.527087,0.527086,0.000828,0.527087,2
99,14,592,820,228,0.050170,0.050170,0.050170,0.000112,0.050170,0.525061,0.525061,0.525062,0.000000,0.525061,2
107,31,633,820,187,0.047868,0.047868,0.047868,0.000000,0.047868,0.523912,0.523912,0.523911,0.000488,0.523912,2
105,30,629,824,195,0.017438,0.017438,0.017438,0.000035,0.017438,0.508718,0.508718,0.508718,0.000000,0.508718,2
101,4,606,830,224,0.056604,0.056604,0.056604,0.000000,0.056604,0.527861,0.527861,0.527861,0.000000,0.527861,1
111,21,643,830,187,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,2
108,1,638,837,199,0.080356,0.080356,0.080356,0.000171,0.080356,0.540088,0.540088,0.540087,0.000846,0.540088,2
115,15,650,837,187,0.006572,0.006572,0.006572,0.000008,0.006572,0.503286,0.503286,0.503286,0.000000,0.503286,2
102,10,615,841,226,0.036174,0.036174,0.036174,0.000000,0.036174,0.518075,0.518075,0.518074,0.001021,0.518075,2
116,9,656,843,187,0.038407,0.038407,0.038407,0.000039,0.038407,0.519192,0.519192,0.519193,0.000000,0.519192,2
119,6,660,847,187,0.073848,0.073848,0.073849,0.000000,0.073848,0.536857,0.536857,0.536858,0.000000,0.536857,2
106,23,630,849,219,0.169223,0.169223,0.169223,0.000273,0.169223,0.583663,0.583663,0.583664,0.000000,0.583663,2
109,3,641,855,214,0.040919,0.040919,0.040919,0.000000,0.040919,0.520429,0.520429,0.520430,0.000000,0.520429,2
118,13,657,858,201,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,2
114,16,647,870,223,0.059890,0.059890,0.059890,0.000000,0.059890,0.529909,0.529909,0.529909,0.000622,0.529909,2
104,27,626,872,246,0.052308,0.052308,0.052308,0.000000,0.052308,0.526069,0.526070,0.526070,0.000000,0.526069,3
121,7,667,873,206,0.053851,0.053851,0.053851,0.000092,0.053851,0.526893,0.526893,0.526893,0.000000,0.526893,2
123,25,686,876,190,0.048527,0.048527,0.048527,0.000000,0.048527,0.524244,0.524244,0.524244,0.000598,0.524244,2
