life_id,agent_id,birth_step,death_step,lifetime_steps,c_level01_birth,c_level01_firstk,avg_c_level01_tick,c_level01_std_over_life,avg_c_level01_attack,attack_tick_count
91,31,458,637,179,0.549564,0.549564,0.549563,0.001208,0.549563,179
82,4,419,638,219,0.529217,0.529217,0.529218,0.000000,0.529218,219
86,27,427,642,215,0.513703,0.513703,0.513703,0.000244,0.513703,215
92,14,459,642,183,0.528142,0.528142,0.528143,0.000000,0.528143,183
87,6,432,644,212,0.515891,0.515891,0.515892,0.000000,0.515892,212
79,18,414,645,231,0.655871,0.655871,0.655870,0.001544,0.655870,231
85,1,423,649,226,0.522246,0.522246,0.522247,0.000000,0.522247,226
90,7,444,655,211,0.520119,0.520119,0.520119,0.000000,0.520119,211
89,9,438,666,228,0.527707,0.527707,0.527708,0.000000,0.527708,228
95,19,480,670,190,0.511044,0.511044,0.511045,0.000000,0.511045,190
93,29,463,700,237,0.624003,0.624003,0.624003,0.001007,0.624003,237
94,20,471,705,234,0.598778,0.598778,0.598778,0.000000,0.598778,234
96,30,540,719,179,0.528083,0.528083,0.528083,0.000000,0.528083,179
97,26,544,723,179,0.702050,0.702050,0.702049,0.000930,0.702049,179
99,25,555,741,186,0.516573,0.516573,0.516573,0.000961,0.516573,186
102,5,571,750,179,0.506091,0.506091,0.506090,0.000345,0.506090,179
101,13,571,756,185,0.501957,0.501957,0.501956,0.001078,0.501956,185
104,3,581,775,194,0.598213,0.598213,0.598213,0.000646,0.598213,194
98,8,552,782,230,0.513672,0.513672,0.513672,0.000173,0.513672,230
108,24,603,782,179,0.520036,0.520036,0.520035,0.001132,0.520035,179
103,28,573,783,210,0.533041,0.533041,0.533042,0.000000,0.533042,210
100,12,570,789,219,0.520605,0.520605,0.520605,0.000423,0.520605,219
110,2,614,793,179,0.512680,0.512680,0.512680,0.000000,0.512680,179
107,23,598,798,200,0.532954,0.532954,0.532953,0.000546,0.532953,200
111,15,619,802,183,0.535293,0.535293,0.535293,0.000000,0.535293,183
106,11,592,808,216,0.534180,0.534180,0.534180,0.000000,0.534180,216
115,10,634,817,183,0.500004,0.500004,0.500005,0.000000,0.500005,183
114,17,633,819,186,0.514979,0.514979,0.514979,0.000977,0.514979,186
117,4,639,819,180,0.500000,0.500000,0.500000,0.000000,0.500000,180
105,0,584,821,237,0.525447,0.525447,0.525446,0.001402,0.525446,237
118,27,643,822,179,0.504767,0.504767,0.504768,0.000000,0.504768,179
113,16,629,824,195,0.500003,0.500003,0.500002,0.001092,0.500002,195
112,21,620,829,209,0.509343,0.509343,0.509344,0.000000,0.509344,209
122,1,650,829,179,0.515538,0.515538,0.515539,0.000000,0.515539,179
121,18,646,831,185,0.547051,0.547051,0.547051,0.000000,0.547051,185
123,7,656,835,179,0.535550,0.535550,0.535551,0.000000,0.535551,179
109,22,607,839,232,0.531010,0.531010,0.531012,0.000000,0.531012,232
116,31,638,840,202,0.539492,0.539492,0.539492,0.001280,0.539492,202
119,14,643,856,213,0.500005,0.500005,0.500006,0.000000,0.500006,213
124,9,667,873,206,0.518088,0.518088,0.518089,0.000000,0.518089,206
120,6,645,880,235,0.520617,0.520617,0.520616,0.000810,0.520616,235
127,20,706,897,191,0.508472,0.508472,0.508471,0.001050,0.508471,191
129,26,724,903,179,0.521994,0.521994,0.521995,0.000000,0.521995,179
125,19,671,904,233,0.503208,0.503208,0.503210,0.000000,0.503210,233
130,25,742,926,184,0.506924,0.506924,0.506925,0.000000,0.506925,184
126,29,701,931,230,0.515033,0.515033,0.515032,0.001021,0.515032,230
131,5,751,936,185,0.535325,0.535324,0.535324,0.000000,0.535324,185
128,30,720,939,219,0.532567,0.532567,0.532568,0.000000,0.532568,219
133,3,776,960,184,0.520446,0.520446,0.520446,0.000000,0.520446,184
136,28,784,963,179,0.500000,0.500000,0.500000,0.000000,0.500000,179
138,2,794,973,179,0.530654,0.530654,0.530655,0.000000,0.530655,179
134,8,783,980,197,0.517223,0.517223,0.517222,0.001233,0.517222,197
132,13,757,987,230,0.513951,0.513950,0.513952,0.000000,0.513952,230
145,0,822,1001,179,0.509979,0.509979,0.509979,0.000000,0.509979,179
146,27,823,1002,179,0.501503,0.501503,0.501503,0.000518,0.501503,179
147,16,825,1004,179,0.536970,0.536970,0.536970,0.000000,0.536970,179
144,4,820,1008,188,0.524042,0.524042,0.524041,0.001092,0.524041,188
149,1,830,1010,180,0.524158,0.524158,0.524157,0.001105,0.524157,180
140,15,803,1015,212,0.538951,0.538951,0.538950,0.001413,0.538950,212
151,7,836,1015,179,0.526748,0.526748,0.526748,0.000000,0.526748,179
152,22,840,1019,179,0.538148,0.538148,0.538148,0.001105,0.538148,179
153,31,841,1021,180,0.500482,0.500482,0.500481,0.000791,0.500481,180
135,24,783,1023,240,0.501990,0.501990,0.501991,0.000000,0.501991,240
137,12,790,1024,234,0.534405,0.534405,0.534407,0.000000,0.534407,234
139,23,799,1026,227,0.516948,0.516948,0.516947,0.001021,0.516947,227
143,17,820,1029,209,0.500000,0.500000,0.500000,0.000000,0.500000,209
141,11,809,1034,225,0.509863,0.509863,0.509864,0.000000,0.509864,225
142,10,818,1047,229,0.533296,0.533296,0.533295,0.001007,0.533295,229
154,14,857,1047,190,0.500000,0.500000,0.500000,0.000000,0.500000,190
155,9,874,1053,179,0.500146,0.500146,0.500145,0.000345,0.500145,179
150,18,832,1063,231,0.500002,0.500002,0.500001,0.000712,0.500001,231
148,21,830,1069,239,0.515691,0.515691,0.515692,0.000000,0.515692,239
158,26,904,1083,179,0.529220,0.529220,0.529220,0.000000,0.529220,179
157,20,898,1100,202,0.523542,0.523542,0.523543,0.000000,0.523543,202
156,6,881,1113,232,0.518696,0.518696,0.518698,0.000000,0.518698,232
162,5,937,1134,197,0.554037,0.554037,0.554037,0.000000,0.554037,197
161,29,932,1135,203,0.527745,0.527745,0.527746,0.000000,0.527746,203
163,30,940,1138,198,0.504920,0.504920,0.504921,0.000000,0.504921,198
159,19,905,1143,238,0.506040,0.506040,0.506041,0.000000,0.506041,238
160,25,927,1143,216,0.548900,0.548900,0.548899,0.001505,0.548899,216
165,28,964,1143,179,0.504662,0.504662,0.504662,0.000880,0.504662,179
167,8,981,1160,179,0.531676,0.531676,0.531677,0.000000,0.531677,179
168,13,988,1167,179,0.523994,0.523994,0.523994,0.000299,0.523994,179
169,0,1002,1181,179,0.516772,0.516772,0.516772,0.001050,0.516772,179
172,4,1009,1188,179,0.532557,0.532557,0.532557,0.000000,0.532557,179
164,3,961,1191,230,0.525329,0.525329,0.525329,0.000000,0.525329,230
175,7,1016,1195,179,0.514049,0.514049,0.514048,0.001078,0.514048,179
173,1,1011,1197,186,0.558648,0.558648,0.558648,0.000897,0.558648,186
176,22,1020,1199,179,0.500000,0.500000,0.500000,0.000000,0.500000,179
178,24,1024,1203,179,0.531569,0.531569,0.531570,0.000000,0.531570,179
166,2,974,1205,231,0.525508,0.525508,0.525507,0.000913,0.525507,231
181,17,1030,1209,179,0.500000,0.500000,0.500000,0.000000,0.500000,179
177,31,1022,1220,198,0.506001,0.506001,0.506002,0.000000,0.506002,198
182,11,1035,1222,187,0.520778,0.520778,0.520777,0.001036,0.520777,187
174,15,1016,1229,213,0.500000,0.500000,0.500000,0.000000,0.500000,213
180,23,1027,1231,204,0.505701,0.505700,0.505700,0.001132,0.505700,204
171,16,1005,1232,227,0.500000,0.500000,0.500000,0.000000,0.500000,227
170,27,1003,1240,237,0.520542,0.520542,0.520540,0.001573,0.520540,237
179,12,1025,1244,219,0.527575,0.527575,0.527574,0.000977,0.527574,219
187,21,1070,1253,183,0.504470,0.504470,0.504471,0.000000,0.504471,183
186,18,1064,1265,201,0.556642,0.556642,0.556641,0.000598,0.556641,201
183,10,1048,1281,233,0.528396,0.528396,0.528396,0.000000,0.528396,233
184,14,1048,1285,237,0.520457,0.520457,0.520456,0.001475,0.520456,237
185,9,1054,1289,235,0.546321,0.546321,0.546320,0.001021,0.546320,235
188,26,1084,1310,226,0.603713,0.603713,0.603714,0.000000,0.603714,226
191,5,1135,1319,184,0.500124,0.500124,0.500123,0.000791,0.500123,184
193,30,1139,1328,189,0.507933,0.507933,0.507934,0.000000,0.507934,189
189,20,1101,1333,232,0.506586,0.506586,0.506586,0.000913,0.506586,232
190,6,1114,1338,224,0.502518,0.502518,0.502518,0.000646,0.502518,224
195,25,1144,1339,195,0.506688,0.506688,0.506689,0.000000,0.506689,195
192,29,1136,1343,207,0.524865,0.524865,0.524865,0.000573,0.524865,207
194,19,1144,1351,207,0.504432,0.504432,0.504433,0.000000,0.504433,207
200,4,1189,1368,179,0.523981,0.523981,0.523981,0.000000,0.523981,179
198,13,1168,1369,201,0.505082,0.505082,0.505081,0.000828,0.505081,201
197,8,1161,1370,209,0.618765,0.618765,0.618766,0.000000,0.618766,209
202,7,1196,1375,179,0.511233,0.511232,0.511232,0.000518,0.511232,179
