condition,seed,life_id,agent_id,birth_step,death_step,lifetime_steps,c_score_birth,c_score_firstk,avg_c_score_tick,c_score_std_over_life,avg_c_score_attack,c_level01_birth,c_level01_firstk,avg_c_level01_tick,c_level01_std_over_life,avg_c_level01_attack,attack_tick_count
baseline,12648460,48,9,231,422,191,0.024806,0.024806,0.024806,0.000000,0.024806,0.512400,0.512400,0.512400,0.000772,0.512400,0
baseline,12648460,46,16,230,424,194,0.045896,0.045896,0.045896,0.000031,0.045896,0.522873,0.522873,0.522873,0.000000,0.522873,2
baseline,12648460,52,21,239,427,188,0.005665,0.005665,0.005665,0.000011,0.005665,0.502831,0.502831,0.502831,0.000000,0.502831,2
baseline,12648460,35,23,192,431,239,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,1
baseline,12648460,45,1,227,434,207,0.018651,0.018651,0.018651,0.000000,0.018651,0.509299,0.509298,0.509300,0.000000,0.509299,1
baseline,12648460,44,24,220,437,217,0.051555,0.051555,0.051555,0.000000,0.051555,0.525750,0.525750,0.525749,0.000791,0.525750,2
baseline,12648460,34,8,191,440,249,0.046088,0.046088,0.046088,0.000078,0.046088,0.523012,0.523012,0.523011,0.000846,0.523012,2
baseline,12648460,50,22,231,443,212,0.088039,0.088039,0.088039,0.000000,0.088039,0.543888,0.543888,0.543886,0.001392,0.543888,2
baseline,12648460,36,26,194,445,251,0.067541,0.067541,0.067541,0.000000,0.067541,0.533708,0.533708,0.533707,0.000669,0.533708,2
baseline,12648460,58,27,254,446,192,0.033219,0.033219,0.033219,0.000000,0.033219,0.516603,0.516603,0.516602,0.001132,0.516603,1
baseline,12648460,32,11,188,447,259,0.087996,0.087996,0.087997,0.000000,0.087996,0.543882,0.543881,0.543883,0.000000,0.543882,2
baseline,12648460,62,15,265,452,187,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,2
baseline,12648460,51,14,239,457,218,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,2
baseline,12648460,42,18,216,461,245,0.040605,0.040605,0.040605,0.000000,0.040605,0.520290,0.520290,0.520288,0.001402,0.520290,2
baseline,12648460,57,25,251,461,210,0.060511,0.060511,0.060511,0.000000,0.060511,0.530209,0.530209,0.530210,0.000000,0.530209,2
baseline,12648460,47,5,231,470,239,0.004666,0.004666,0.004666,0.000000,0.004666,0.502333,0.502333,0.502334,0.000000,0.502333,2
baseline,12648460,63,31,265,472,207,0.026776,0.026776,0.026776,0.000035,0.026776,0.512977,0.512977,0.512977,0.000000,0.512977,2
baseline,12648460,43,7,220,479,259,0.106176,0.106176,0.106176,0.000000,0.106176,0.552881,0.552881,0.552881,0.000846,0.552881,2
baseline,12648460,53,2,243,479,236,0.026055,0.026055,0.026055,0.000000,0.026055,0.513022,0.513022,0.513023,0.000000,0.513022,3
baseline,12648460,60,3,258,481,223,0.063230,0.063230,0.063230,0.000022,0.063230,0.531565,0.531565,0.531563,0.001381,0.531565,2
baseline,12648460,54,29,247,482,235,0.007181,0.007181,0.007181,0.000009,0.007181,0.503590,0.503591,0.503591,0.000000,0.503590,1
baseline,12648460,61,28,258,506,248,0.039253,0.039253,0.039253,0.000000,0.039253,0.519402,0.519402,0.519402,0.000546,0.519402,3
baseline,12648460,55,4,250,507,257,0.053549,0.053549,0.053549,0.000136,0.053549,0.526742,0.526742,0.526742,0.001064,0.526742,3
baseline,12648460,56,6,251,507,256,0.121829,0.121829,0.121830,0.000000,0.121829,0.553978,0.553978,0.553979,0.000000,0.553978,1
baseline,12648460,59,20,255,509,254,0.027279,0.027279,0.027279,0.000000,0.027279,0.513635,0.513636,0.513634,0.000880,0.513635,2
baseline,12648460,49,12,231,555,324,0.380878,0.380878,0.380877,0.001078,0.380878,0.674233,0.674233,0.674236,0.000000,0.674233,2
baseline,12648460,65,19,387,581,194,0.031626,0.031626,0.031626,0.000000,0.031626,0.515808,0.515808,0.515808,0.000000,0.515808,2
baseline,12648460,71,16,425,612,187,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,2
baseline,12648460,72,21,428,615,187,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,2
baseline,12648460,66,30,400,616,216,0.058855,0.058855,0.058855,0.000000,0.058855,0.529352,0.529352,0.529352,0.000000,0.529352,1
baseline,12648460,74,1,435,628,193,0.018622,0.018622,0.018622,0.000028,0.018622,0.509310,0.509310,0.509309,0.000863,0.509310,2
baseline,12648460,68,0,416,632,216,0.023806,0.023806,0.023806,0.000000,0.023806,0.511899,0.511899,0.511900,0.000000,0.511899,2
baseline,12648460,64,13,376,635,259,0.048767,0.048767,0.048767,0.000000,0.048767,0.524341,0.524341,0.524340,0.001221,0.524341,3
baseline,12648460,76,8,441,639,198,0.070544,0.070544,0.070544,0.000110,0.070544,0.535193,0.535193,0.535194,0.000000,0.535193,2
baseline,12648460,79,27,447,639,192,0.034703,0.034703,0.034703,0.000000,0.034703,0.517335,0.517335,0.517334,0.000646,0.517335,1
baseline,12648460,80,11,448,644,196,0.057543,0.057543,0.057543,0.000000,0.057543,0.528728,0.528728,0.528727,0.001036,0.528728,1
baseline,12648460,81,15,453,647,194,0.044693,0.044693,0.044693,0.000072,0.044693,0.522313,0.522313,0.522314,0.000000,0.522313,2
baseline,12648460,82,14,458,650,192,0.033455,0.033455,0.033455,0.000000,0.033455,0.516721,0.516721,0.516722,0.000000,0.516721,2
baseline,12648460,67,17,404,653,249,0.101923,0.101923,0.101923,0.000086,0.101923,0.550785,0.550785,0.550787,0.000000,0.550785,2
baseline,12648460,77,22,444,655,211,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,2
baseline,12648460,69,10,422,663,241,0.047622,0.047622,0.047622,0.000063,0.047622,0.523791,0.523791,0.523790,0.000880,0.523791,3
baseline,12648460,75,24,438,666,228,0.037677,0.037677,0.037677,0.000000,0.037677,0.518828,0.518828,0.518829,0.000000,0.518828,1
baseline,12648460,78,26,446,667,221,0.000003,0.000003,0.000003,0.000000,0.000003,0.500001,0.500002,0.500001,0.000712,0.500001,2
baseline,12648460,87,7,480,668,188,0.003958,0.003958,0.003958,0.000008,0.003958,0.501979,0.501979,0.501978,0.001007,0.501979,2
baseline,12648460,88,2,480,670,190,0.015936,0.015936,0.015936,0.000000,0.015936,0.507968,0.507968,0.507967,0.000546,0.507968,2
baseline,12648460,70,9,423,674,251,0.009236,0.009236,0.009236,0.000000,0.009236,0.504618,0.504618,0.504617,0.000573,0.504618,3
baseline,12648460,89,3,482,701,219,0.029251,0.029251,0.029251,0.000000,0.029251,0.514614,0.514614,0.514612,0.001245,0.514614,2
baseline,12648460,85,5,471,705,234,0.050252,0.050252,0.050252,0.000000,0.050252,0.525102,0.525102,0.525101,0.001381,0.525102,2
baseline,12648460,90,29,483,714,231,0.042133,0.042133,0.042133,0.000067,0.042133,0.521054,0.521054,0.521055,0.000000,0.521054,3
baseline,12648460,84,25,462,716,254,0.034316,0.034316,0.034316,0.000094,0.034316,0.517151,0.517151,0.517151,0.000000,0.517151,3
baseline,12648460,91,28,507,720,213,0.006325,0.006325,0.006325,0.000013,0.006325,0.503160,0.503160,0.503159,0.000977,0.503160,2
baseline,12648460,86,31,473,729,256,0.052188,0.052188,0.052188,0.000000,0.052188,0.526058,0.526058,0.526057,0.001158,0.526058,2
baseline,12648460,93,6,508,733,225,0.007458,0.007458,0.007458,0.000017,0.007458,0.503729,0.503729,0.503729,0.000000,0.503729,2
baseline,12648460,94,20,510,737,227,0.202584,0.202584,0.202584,0.000511,0.202584,0.599751,0.599751,0.599752,0.000000,0.599751,2
baseline,12648460,73,23,432,738,306,0.311877,0.311876,0.311876,0.000525,0.311877,0.649643,0.649643,0.649643,0.000000,0.649643,3
baseline,12648460,92,4,508,742,234,0.052474,0.052474,0.052473,0.000137,0.052474,0.526211,0.526211,0.526213,0.000000,0.526211,3
baseline,12648460,95,12,556,751,195,0.051380,0.051380,0.051380,0.000117,0.051380,0.525665,0.525665,0.525665,0.000622,0.525665,2
baseline,12648460,96,19,582,819,237,0.042847,0.042847,0.042847,0.000093,0.042847,0.521410,0.521410,0.521410,0.001007,0.521410,3
