life_id,agent_id,birth_step,death_step,lifetime_steps,c_score_birth,c_score_firstk,avg_c_score_tick,c_score_std_over_life,avg_c_score_attack,c_level01_birth,c_level01_firstk,avg_c_level01_tick,c_level01_std_over_life,avg_c_level01_attack,attack_tick_count
11,11,0,187,187,0.002860,0.002860,0.002860,0.000000,0.002860,0.501430,0.501430,0.501429,0.000598,0.501430,2
13,13,0,187,187,0.002005,0.002005,0.002005,0.000002,0.002005,0.501002,0.501002,0.501002,0.000622,0.501002,2
8,8,0,190,190,0.011413,0.011413,0.011413,0.000000,0.011413,0.505706,0.505706,0.505707,0.000000,0.505706,1
23,23,0,191,191,0.007366,0.007366,0.007366,0.000011,0.007366,0.503683,0.503683,0.503683,0.000000,0.503683,2
26,26,0,193,193,0.037336,0.037336,0.037336,0.000067,0.037336,0.518646,0.518646,0.518646,0.000000,0.518646,2
19,19,0,194,194,0.043117,0.043117,0.043117,0.000052,0.043117,0.521533,0.521533,0.521532,0.000752,0.521533,2
10,10,0,197,197,0.064964,0.064964,0.064963,0.000086,0.064964,0.532352,0.532352,0.532351,0.000691,0.532352,2
17,17,0,199,199,0.050644,0.050644,0.050644,0.000089,0.050644,0.525295,0.525295,0.525294,0.001245,0.525295,2
0,0,0,205,205,0.021551,0.021551,0.021551,0.000062,0.021551,0.510773,0.510773,0.510773,0.000992,0.510773,2
30,30,0,205,205,0.028558,0.028558,0.028558,0.000032,0.028558,0.514275,0.514275,0.514275,0.001036,0.514275,2
18,18,0,215,215,0.042062,0.042062,0.042062,0.000098,0.042062,0.521014,0.521014,0.521013,0.001303,0.521014,2
7,7,0,219,219,0.040284,0.040284,0.040284,0.000000,0.040284,0.520128,0.520128,0.520127,0.001245,0.520128,2
24,24,0,219,219,0.083564,0.083564,0.083564,0.000000,0.083564,0.541684,0.541684,0.541685,0.000000,0.541684,2
1,1,0,226,226,0.005928,0.005928,0.005928,0.000000,0.005928,0.502963,0.502962,0.502962,0.000977,0.502963,1
16,16,0,229,229,0.003534,0.003534,0.003534,0.000005,0.003534,0.501767,0.501767,0.501768,0.000000,0.501767,2
5,5,0,230,230,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,3
9,9,0,230,230,0.012568,0.012568,0.012568,0.000005,0.012568,0.506283,0.506283,0.506285,0.000000,0.506283,2
