condition,dt_sec,basal_cost_per_sec,action_cost_per_attack,recharge_per_attack,continuous_recharge_per_sec
baseline,0.010667,0.500000,0.000000,0.000000,0.400000
norecharge,0.010667,0.500000,0.000000,0.000000,0.000000
