life_id,agent_id,birth_step,death_step,lifetime_steps,c_score_birth,c_score_firstk,avg_c_score_tick,c_score_std_over_life,avg_c_score_attack,c_level01_birth,c_level01_firstk,avg_c_level01_tick,c_level01_std_over_life,avg_c_level01_attack,attack_tick_count
3,3,0,188,188,0.007620,0.007620,0.007620,0.000013,0.007620,0.503810,0.503810,0.503809,0.001105,0.503810,2
6,6,0,189,189,0.010463,0.010463,0.010463,0.000000,0.010463,0.505231,0.505231,0.505232,0.000299,0.505231,2
25,25,0,189,189,0.013197,0.013197,0.013197,0.000000,0.013197,0.506594,0.506594,0.506594,0.000488,0.506594,2
18,18,0,190,190,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,1
23,23,0,190,190,0.016784,0.016784,0.016784,0.000037,0.016784,0.508391,0.508391,0.508392,0.000000,0.508391,2
13,13,0,191,191,0.025978,0.025978,0.025978,0.000000,0.025978,0.512986,0.512986,0.512985,0.000299,0.512986,2
17,17,0,192,192,0.029994,0.029994,0.029994,0.000023,0.029994,0.514930,0.514930,0.514931,0.000000,0.514930,2
21,21,0,193,193,0.036527,0.036527,0.036527,0.000044,0.036527,0.518241,0.518241,0.518241,0.000000,0.518241,2
0,0,0,195,195,0.048875,0.048875,0.048875,0.000000,0.048875,0.524412,0.524412,0.524412,0.000000,0.524412,2
16,16,0,195,195,0.008380,0.008380,0.008380,0.000000,0.008380,0.504190,0.504190,0.504189,0.000977,0.504190,2
9,9,0,197,197,0.065197,0.065197,0.065197,0.000150,0.065197,0.532540,0.532540,0.532540,0.001119,0.532540,2
11,11,0,199,199,0.060109,0.060109,0.060109,0.000070,0.060109,0.530018,0.530018,0.530019,0.000000,0.530018,2
26,26,0,205,205,0.000384,0.000384,0.000384,0.000000,0.000384,0.500192,0.500192,0.500191,0.000669,0.500192,2
8,8,0,215,215,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,2
2,2,0,219,219,0.018110,0.018110,0.018110,0.000000,0.018110,0.509053,0.509053,0.509054,0.000000,0.509053,2
29,29,0,219,219,0.121529,0.121529,0.121529,0.000271,0.121529,0.560129,0.560129,0.560128,0.000846,0.560129,2
4,4,0,224,224,0.204040,0.204040,0.204041,0.000193,0.204040,0.600401,0.600401,0.600402,0.000000,0.600401,2
27,27,0,226,226,0.019262,0.019262,0.019262,0.000000,0.019262,0.509626,0.509626,0.509627,0.000000,0.509626,1
10,10,0,229,229,0.136565,0.136565,0.136565,0.000353,0.136565,0.567246,0.567246,0.567246,0.001171,0.567246,2
19,19,0,230,230,0.055228,0.055228,0.055228,0.000000,0.055228,0.527586,0.527586,0.527587,0.000000,0.527586,2
22,22,0,230,230,0.070802,0.070802,0.070802,0.000136,0.070802,0.535342,0.535342,0.535341,0.000846,0.535342,2
31,31,0,230,230,0.032585,0.032585,0.032585,0.000000,0.032585,0.516276,0.516276,0.516275,0.000828,0.516276,3
20,20,0,238,238,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,3
5,5,0,241,241,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,3
24,24,0,242,242,0.106437,0.106437,0.106438,0.000000,0.106437,0.552223,0.552223,0.552223,0.000173,0.552223,2
1,1,0,246,246,0.003481,0.003481,0.003481,0.000000,0.003481,0.501740,0.501740,0.501740,0.000828,0.501740,3
7,7,0,246,246,0.013417,0.013417,0.013417,0.000028,0.013417,0.506708,0.506708,0.506707,0.001021,0.506708,2
30,30,0,249,249,0.008658,0.008658,0.008658,0.000018,0.008658,0.504329,0.504329,0.504328,0.001292,0.504329,3
28,28,0,250,250,0.027845,0.027845,0.027844,0.000063,0.027845,0.513919,0.513919,0.513918,0.000598,0.513919,2
14,14,0,254,254,0.041987,0.041987,0.041986,0.000062,0.041987,0.520981,0.520981,0.520981,0.000000,0.520981,2
12,12,0,256,256,0.335477,0.335477,0.335477,0.000000,0.335477,0.658359,0.658359,0.658357,0.001132,0.658359,2
15,15,0,332,332,0.475436,0.475436,0.475435,0.001099,0.475436,0.690093,0.690093,0.690094,0.000000,0.690093,4
34,25,190,384,194,0.044858,0.044858,0.044858,0.000000,0.044858,0.522409,0.522409,0.522408,0.000930,0.522409,2
40,0,196,391,195,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,2
39,21,194,401,207,0.027612,0.027612,0.027612,0.000011,0.027612,0.513802,0.513802,0.513802,0.000457,0.513802,2
43,11,200,403,203,0.035081,0.035081,0.035081,0.000090,0.035081,0.517532,0.517532,0.517532,0.000752,0.517532,2
32,3,189,406,217,0.016790,0.016790,0.016790,0.000029,0.016790,0.508394,0.508394,0.508394,0.000622,0.508394,2
48,4,225,413,188,0.001098,0.001098,0.001098,0.000001,0.001098,0.500549,0.500549,0.500549,0.000000,0.500549,2
44,26,206,415,209,0.042101,0.042101,0.042101,0.000074,0.042101,0.521031,0.521031,0.521032,0.000000,0.521031,2
36,23,191,416,225,0.077636,0.077636,0.077637,0.000000,0.077636,0.538739,0.538739,0.538740,0.000000,0.538739,2
50,10,230,423,193,0.039621,0.039621,0.039621,0.000060,0.039621,0.519795,0.519795,0.519796,0.000000,0.519795,2
51,19,231,423,192,0.032394,0.032394,0.032394,0.000000,0.032394,0.516191,0.516191,0.516190,0.000772,0.516190,0
33,6,190,425,235,0.223394,0.223394,0.223394,0.000432,0.223394,0.609153,0.609153,0.609153,0.001007,0.609153,2
41,16,196,426,230,0.001006,0.001006,0.001006,0.000001,0.001006,0.500503,0.500503,0.500503,0.000000,0.500503,3
37,13,192,431,239,0.020429,0.020429,0.020429,0.000055,0.020429,0.510212,0.510212,0.510210,0.001158,0.510212,1
46,2,220,437,217,0.035091,0.035091,0.035091,0.000000,0.035091,0.517536,0.517536,0.517534,0.001465,0.517536,2
59,30,250,437,187,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,2
35,18,191,440,249,0.139253,0.139253,0.139252,0.000308,0.139253,0.566779,0.566779,0.566779,0.000000,0.566779,2
42,9,198,448,250,0.036040,0.036040,0.036040,0.000055,0.036040,0.518010,0.518010,0.518011,0.000000,0.518010,2
62,12,257,451,194,0.042024,0.042024,0.042024,0.000000,0.042024,0.521000,0.521000,0.520998,0.001370,0.521000,1
38,17,193,453,260,0.071319,0.071319,0.071319,0.000000,0.071319,0.535272,0.535272,0.535272,0.000000,0.535272,2
54,20,239,457,218,0.056322,0.056322,0.056322,0.000000,0.056322,0.528125,0.528125,0.528124,0.000913,0.528125,2
45,8,216,461,245,0.044725,0.044725,0.044725,0.000031,0.044725,0.522331,0.522331,0.522331,0.000299,0.522331,2
52,22,231,462,231,0.007136,0.007136,0.007136,0.000012,0.007136,0.503568,0.503568,0.503569,0.000000,0.503568,2
53,31,231,470,239,0.023362,0.023362,0.023362,0.000000,0.023362,0.511678,0.511678,0.511679,0.000000,0.511678,2
57,1,247,478,231,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,1
47,29,220,479,259,0.052320,0.052320,0.052320,0.000076,0.052320,0.526117,0.526117,0.526116,0.000961,0.526117,2
56,24,243,479,236,0.078978,0.078978,0.078978,0.000148,0.078978,0.539398,0.539398,0.539398,0.000000,0.539398,3
55,5,242,481,239,0.057535,0.057535,0.057535,0.000105,0.057535,0.528733,0.528733,0.528732,0.001050,0.528733,1
58,7,247,482,235,0.035962,0.035962,0.035962,0.000000,0.035962,0.517971,0.517971,0.517969,0.001505,0.517971,1
60,28,251,507,256,0.028636,0.028636,0.028636,0.000000,0.028636,0.514313,0.514313,0.514313,0.000669,0.514313,1
61,14,255,509,254,0.026846,0.026846,0.026846,0.000000,0.026846,0.513420,0.513420,0.513420,0.000000,0.513420,2
49,27,227,528,301,0.408309,0.408309,0.408310,0.000000,0.408309,0.691649,0.691649,0.691650,0.000000,0.691649,2
63,15,333,592,259,0.347817,0.347817,0.347817,0.000777,0.347817,0.659175,0.659175,0.659175,0.000000,0.659175,2
64,25,385,592,207,0.054871,0.054871,0.054872,0.000000,0.054871,0.527394,0.527394,0.527395,0.000000,0.527394,1
67,11,404,594,190,0.017558,0.017558,0.017558,0.000000,0.017558,0.508778,0.508778,0.508779,0.000000,0.508778,2
68,3,407,612,205,0.000009,0.000009,0.000009,0.000000,0.000009,0.500004,0.500004,0.500005,0.000000,0.500004,2
73,19,424,613,189,0.010205,0.010205,0.010205,0.000000,0.010205,0.505102,0.505102,0.505103,0.000000,0.505102,2
