life_id,agent_id,birth_step,death_step,lifetime_steps,c_level01_birth,c_level01_firstk,avg_c_level01_tick,c_level01_std_over_life,avg_c_level01_attack,attack_tick_count
30,30,0,273,273,0.500000,0.500000,0.500000,0.000000,0.500000,273
2,2,0,320,320,0.506865,0.506865,0.506866,0.000000,0.506866,320
3,3,0,321,321,0.517434,0.517434,0.517435,0.000000,0.517435,321
27,27,0,321,321,0.516213,0.516213,0.516214,0.000000,0.516214,321
17,17,0,322,322,0.518530,0.518530,0.518529,0.000846,0.518529,322
19,19,0,323,323,0.518210,0.518210,0.518210,0.000752,0.518210,323
10,10,0,324,324,0.500000,0.500000,0.500000,0.000000,0.500000,324
15,15,0,324,324,0.500000,0.500000,0.500000,0.000000,0.500000,324
4,4,0,325,325,0.531418,0.531418,0.531418,0.000000,0.531418,325
1,1,0,336,336,0.519538,0.519539,0.519537,0.001337,0.519537,336
21,21,0,342,342,0.591079,0.591079,0.591079,0.000000,0.591079,342
5,5,0,344,344,0.528199,0.528199,0.528198,0.000423,0.528198,344
26,26,0,360,360,0.500089,0.500089,0.500090,0.000000,0.500090,360
24,24,0,364,364,0.513252,0.513252,0.513250,0.001525,0.513250,364
23,23,0,365,365,0.513846,0.513846,0.513845,0.001337,0.513845,365
31,31,0,365,365,0.515440,0.515440,0.515441,0.000000,0.515441,365
0,0,0,366,366,0.518596,0.518596,0.518597,0.000863,0.518597,366
14,14,0,367,367,0.504377,0.504377,0.504378,0.000000,0.504378,367
25,25,0,367,367,0.512826,0.512826,0.512828,0.000000,0.512828,367
12,12,0,370,370,0.529275,0.529276,0.529277,0.000000,0.529277,370
16,16,0,372,372,0.532971,0.532971,0.532973,0.000000,0.532973,372
11,11,0,378,378,0.533010,0.533010,0.533009,0.001691,0.533009,378
20,20,0,379,379,0.506123,0.506123,0.506123,0.001359,0.506123,379
9,9,0,382,382,0.529322,0.529322,0.529323,0.000000,0.529323,382
18,18,0,386,386,0.529733,0.529733,0.529735,0.000000,0.529735,386
29,29,0,409,409,0.632711,0.632711,0.632709,0.001851,0.632709,409
6,6,0,417,417,0.516006,0.516006,0.516006,0.001021,0.516006,417
13,13,0,425,425,0.541136,0.541136,0.541137,0.000244,0.541137,425
22,22,0,425,425,0.505440,0.505440,0.505443,0.000000,0.505443,425
28,28,0,428,428,0.531643,0.531643,0.531644,0.000000,0.531644,428
7,7,0,436,436,0.533619,0.533619,0.533618,0.001370,0.533618,436
8,8,0,492,492,0.691108,0.691108,0.691104,0.002460,0.691104,492
32,30,274,593,319,0.508450,0.508450,0.508452,0.000000,0.508452,319
34,3,322,597,275,0.512007,0.512007,0.512007,0.000000,0.512007,275
40,4,326,599,273,0.500000,0.500000,0.500000,0.000000,0.500000,273
35,27,322,640,318,0.505557,0.505557,0.505555,0.001119,0.505555,318
41,1,337,655,318,0.507330,0.507330,0.507329,0.001303,0.507329,318
43,5,345,661,316,0.500000,0.500000,0.500000,0.000000,0.500000,316
42,21,343,673,330,0.547345,0.547345,0.547347,0.000000,0.547347,330
51,12,371,690,319,0.510512,0.510511,0.510513,0.000000,0.510513,319
50,25,368,693,325,0.530730,0.530730,0.530731,0.000000,0.530731,325
39,15,325,695,370,0.527337,0.527337,0.527339,0.000000,0.527339,370
49,14,368,696,328,0.530594,0.530594,0.530594,0.000598,0.530594,328
54,20,380,701,321,0.517866,0.517866,0.517867,0.000000,0.517867,321
53,11,379,704,325,0.529454,0.529454,0.529454,0.000000,0.529454,325
52,16,373,705,332,0.528477,0.528477,0.528474,0.001883,0.528474,332
37,19,324,708,384,0.512173,0.512173,0.512175,0.000000,0.512175,384
38,10,325,708,383,0.518495,0.518496,0.518494,0.001064,0.518494,383
56,18,387,710,323,0.523423,0.523423,0.523422,0.000772,0.523422,323
44,26,361,724,363,0.504724,0.504724,0.504725,0.000000,0.504725,363
48,0,367,733,366,0.512327,0.512327,0.512329,0.000000,0.512329,366
47,31,366,735,369,0.525098,0.525098,0.525100,0.000000,0.525100,369
36,17,323,739,416,0.500000,0.500000,0.500000,0.000000,0.500000,416
46,23,366,744,378,0.526848,0.526848,0.526851,0.000000,0.526851,378
55,9,383,748,365,0.514823,0.514823,0.514821,0.001485,0.514821,365
60,22,426,769,343,0.594170,0.594170,0.594173,0.000000,0.594173,343
33,2,321,776,455,0.611309,0.611309,0.611309,0.000000,0.611309,455
58,6,418,780,362,0.503095,0.503095,0.503096,0.000000,0.503096,362
57,29,410,783,373,0.537156,0.537156,0.537155,0.000691,0.537155,373
62,7,437,806,369,0.526563,0.526563,0.526565,0.000000,0.526565,369
63,8,493,811,318,0.507114,0.507114,0.507112,0.001221,0.507112,318
45,24,365,825,460,0.610098,0.610098,0.610097,0.001867,0.610097,460
59,13,426,832,406,0.623192,0.623193,0.623196,0.000000,0.623196,406
64,30,594,922,328,0.542027,0.542027,0.542027,0.000000,0.542027,328
65,3,598,922,324,0.527872,0.527872,0.527873,0.000000,0.527873,324
61,28,429,964,535,0.781582,0.781582,0.781585,0.000000,0.781585,535
67,27,641,964,323,0.525013,0.525013,0.525014,0.000732,0.525014,323
68,1,656,974,318,0.506421,0.506421,0.506423,0.000000,0.506423,318
66,4,600,983,383,0.561673,0.561673,0.561675,0.000000,0.561675,383
69,5,662,984,322,0.521352,0.521352,0.521352,0.000000,0.521352,322
79,10,709,985,276,0.512289,0.512289,0.512289,0.000000,0.512289,276
70,21,674,992,318,0.505020,0.505020,0.505020,0.000173,0.505020,318
78,19,709,1029,320,0.508250,0.508250,0.508250,0.000000,0.508250,320
77,16,706,1031,325,0.529788,0.529788,0.529786,0.001444,0.529786,325
80,18,711,1032,321,0.515601,0.515601,0.515600,0.000828,0.515600,321
88,2,777,1053,276,0.515539,0.515539,0.515540,0.000000,0.515540,276
73,15,696,1059,363,0.509936,0.509936,0.509935,0.001171,0.509935,363
83,31,736,1060,324,0.525755,0.525756,0.525757,0.000000,0.525757,324
72,25,694,1067,373,0.535378,0.535378,0.535380,0.000000,0.535380,373
74,14,697,1067,370,0.514758,0.514758,0.514757,0.001485,0.514757,370
75,20,702,1077,375,0.540089,0.540089,0.540088,0.000000,0.540088,375
87,22,770,1095,325,0.531990,0.531990,0.531988,0.001119,0.531988,325
85,23,745,1108,363,0.509884,0.509884,0.509884,0.000000,0.509884,363
86,9,749,1109,360,0.500344,0.500344,0.500346,0.000000,0.500346,360
84,17,740,1111,371,0.500000,0.500000,0.500000,0.000000,0.500000,371
81,26,725,1112,387,0.572812,0.572812,0.572814,0.000000,0.572814,387
91,7,807,1128,321,0.508516,0.508516,0.508516,0.001381,0.508516,321
92,8,812,1129,317,0.502217,0.502217,0.502217,0.000386,0.502217,317
76,11,705,1132,427,0.519113,0.519113,0.519115,0.000000,0.519115,427
89,6,781,1140,359,0.500000,0.500000,0.500000,0.000000,0.500000,359
90,29,784,1155,371,0.509971,0.509971,0.509969,0.001475,0.509969,371
82,0,734,1165,431,0.520913,0.520913,0.520916,0.000000,0.520916,431
71,12,691,1189,498,0.703038,0.703037,0.703036,0.001891,0.703036,498
93,24,826,1198,372,0.500000,0.500000,0.500000,0.000000,0.500000,372
95,30,923,1199,276,0.514246,0.514246,0.514246,0.000622,0.514246,276
94,13,833,1208,375,0.542628,0.542628,0.542629,0.000299,0.542629,375
96,3,923,1244,321,0.515425,0.515425,0.515426,0.000000,0.515426,321
98,27,965,1281,316,0.500000,0.500000,0.500000,0.000000,0.500000,316
97,28,965,1297,332,0.553814,0.553814,0.553816,0.000000,0.553816,332
99,1,975,1298,323,0.524051,0.524051,0.524049,0.000880,0.524049,323
101,5,985,1317,332,0.550134,0.550134,0.550135,0.000000,0.550135,332
100,4,984,1318,334,0.525245,0.525245,0.525244,0.000810,0.525244,334
104,19,1030,1348,318,0.506011,0.506011,0.506012,0.000000,0.506012,318
105,16,1032,1352,320,0.512838,0.512838,0.512837,0.000732,0.512837,320
103,21,993,1358,365,0.513894,0.513894,0.513896,0.000000,0.513896,365
115,9,1110,1387,277,0.518999,0.518999,0.518998,0.001280,0.518998,277
110,25,1068,1389,321,0.517804,0.517804,0.517806,0.000000,0.517806,321
112,20,1078,1403,325,0.528912,0.528912,0.528914,0.000000,0.528914,325
106,18,1033,1414,381,0.507285,0.507285,0.507283,0.001592,0.507283,381
113,22,1096,1419,323,0.522043,0.522043,0.522044,0.000000,0.522044,323
109,31,1061,1422,361,0.503092,0.503092,0.503093,0.000000,0.503093,361
108,15,1060,1428,368,0.521668,0.521668,0.521668,0.001171,0.521668,368
107,2,1054,1430,376,0.501001,0.501001,0.501002,0.000000,0.501002,376
102,10,986,1438,452,0.603904,0.603904,0.603902,0.001786,0.603902,452
117,26,1113,1439,326,0.500632,0.500632,0.500632,0.001092,0.500632,326
114,23,1109,1442,333,0.557968,0.557968,0.557968,0.000000,0.557968,333
119,8,1130,1450,320,0.513970,0.513970,0.513971,0.000000,0.513971,320
118,7,1129,1458,329,0.546512,0.546512,0.546510,0.001475,0.546510,329
121,6,1141,1458,317,0.503815,0.503815,0.503815,0.000772,0.503815,317
126,30,1200,1478,278,0.525132,0.525132,0.525132,0.001050,0.525132,278
111,14,1068,1492,424,0.530662,0.530662,0.530659,0.001465,0.530659,424
123,0,1166,1492,326,0.533413,0.533413,0.533415,0.000000,0.533415,326
116,17,1112,1496,384,0.564043,0.564043,0.564041,0.001582,0.564041,384
