life_id,agent_id,birth_step,death_step,lifetime_steps,c_score_birth,c_score_firstk,avg_c_score_tick,c_score_std_over_life,avg_c_score_attack,c_level01_birth,c_level01_firstk,avg_c_level01_tick,c_level01_std_over_life,avg_c_level01_attack,attack_tick_count
0,0,0,187,187,0.198702,0.198702,0.198702,0.000381,0.198702,0.597849,0.597849,0.597849,0.000000,0.597849,2
7,7,0,187,187,0.000005,0.000005,0.000005,0.000000,0.000005,0.500003,0.500003,0.500002,0.000810,0.500003,2
8,8,0,187,187,0.055977,0.055977,0.055977,0.000000,0.055977,0.527959,0.527959,0.527959,0.000000,0.527959,2
13,13,0,187,187,0.107868,0.107868,0.107868,0.000000,0.107868,0.553709,0.553709,0.553710,0.000000,0.553709,2
14,14,0,187,187,0.015284,0.015284,0.015284,0.000041,0.015284,0.507641,0.507641,0.507642,0.000000,0.507641,2
15,15,0,187,187,0.105215,0.105215,0.105215,0.000000,0.105215,0.550536,0.550536,0.550537,0.000000,0.550536,2
23,23,0,187,187,0.272119,0.272119,0.272118,0.000396,0.272119,0.631725,0.631725,0.631724,0.001718,0.631725,2
25,25,0,187,187,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,2
27,27,0,187,187,0.008678,0.008678,0.008678,0.000000,0.008678,0.504339,0.504339,0.504339,0.000000,0.504339,2
31,31,0,187,187,0.020088,0.020088,0.020088,0.000000,0.020088,0.510042,0.510042,0.510041,0.001145,0.510042,2
28,28,0,190,190,0.020949,0.020949,0.020949,0.000022,0.020949,0.510468,0.510468,0.510468,0.000828,0.510468,1
3,3,0,191,191,0.037547,0.037547,0.037547,0.000037,0.037547,0.518761,0.518762,0.518761,0.000000,0.518761,2
30,30,0,195,195,0.102355,0.102355,0.102356,0.000000,0.102355,0.550978,0.550979,0.550979,0.000000,0.550978,2
5,5,0,199,199,0.028595,0.028595,0.028595,0.000000,0.028595,0.514288,0.514288,0.514289,0.000000,0.514288,2
10,10,0,205,205,0.042176,0.042176,0.042176,0.000000,0.042176,0.521075,0.521075,0.521074,0.000646,0.521075,2
20,20,0,205,205,0.108000,0.108000,0.108000,0.000250,0.108000,0.553750,0.553750,0.553750,0.001158,0.553750,2
6,6,0,215,215,0.002390,0.002390,0.002390,0.000000,0.002390,0.501195,0.501195,0.501196,0.000000,0.501195,2
12,12,0,219,219,0.027549,0.027549,0.027549,0.000000,0.027549,0.513771,0.513771,0.513771,0.000423,0.513771,2
19,19,0,219,219,0.017656,0.017656,0.017656,0.000012,0.017656,0.508822,0.508822,0.508822,0.000691,0.508822,2
21,21,0,226,226,0.051113,0.051113,0.051112,0.000093,0.051113,0.525521,0.525520,0.525520,0.000846,0.525521,1
4,4,0,229,229,0.027073,0.027073,0.027073,0.000000,0.027073,0.513532,0.513532,0.513533,0.000000,0.513532,2
2,2,0,230,230,0.012350,0.012350,0.012350,0.000032,0.012350,0.506175,0.506175,0.506174,0.001171,0.506175,2
17,17,0,230,230,0.020913,0.020913,0.020913,0.000000,0.020913,0.510455,0.510455,0.510454,0.000000,0.510455,3
24,24,0,230,230,0.035258,0.035258,0.035257,0.000084,0.035258,0.517621,0.517621,0.517622,0.000000,0.517621,2
29,29,0,230,230,0.097992,0.097992,0.097992,0.000133,0.097992,0.548768,0.548768,0.548768,0.001221,0.548768,2
1,1,0,238,238,0.006380,0.006380,0.006380,0.000000,0.006380,0.503189,0.503189,0.503189,0.000977,0.503189,3
26,26,0,238,238,0.009367,0.009367,0.009367,0.000000,0.009367,0.504683,0.504683,0.504684,0.000000,0.504683,3
11,11,0,241,241,0.108376,0.108376,0.108376,0.000000,0.108376,0.553937,0.553937,0.553938,0.000000,0.553937,3
22,22,0,242,242,0.064835,0.064835,0.064835,0.000131,0.064835,0.532369,0.532369,0.532370,0.000000,0.532369,2
9,9,0,246,246,0.278070,0.278070,0.278069,0.000737,0.278070,0.634492,0.634492,0.634491,0.001092,0.634492,2
16,16,0,249,249,0.001893,0.001893,0.001893,0.000005,0.001893,0.500944,0.500944,0.500946,0.000000,0.500944,3
18,18,0,250,250,0.126828,0.126828,0.126829,0.000000,0.126828,0.562000,0.562000,0.561998,0.001465,0.562000,2
32,0,188,375,187,0.039071,0.039071,0.039071,0.000067,0.039071,0.519525,0.519525,0.519524,0.000810,0.519525,2
33,7,188,375,187,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,2
36,14,188,375,187,0.035176,0.035176,0.035176,0.000000,0.035176,0.517580,0.517580,0.517580,0.000930,0.517580,1
39,25,188,375,187,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,1
41,31,188,375,187,0.017997,0.017997,0.017997,0.000000,0.017997,0.508997,0.508997,0.508997,0.000846,0.508997,1
46,10,206,393,187,0.187930,0.187930,0.187931,0.000000,0.187930,0.590063,0.590063,0.590064,0.000000,0.590063,1
37,15,188,397,209,0.090258,0.090258,0.090258,0.000000,0.090258,0.544996,0.544996,0.544998,0.000000,0.544996,2
40,27,188,402,214,0.027739,0.027739,0.027739,0.000000,0.027739,0.513862,0.513863,0.513863,0.000000,0.513862,2
45,5,200,403,203,0.035796,0.035796,0.035796,0.000072,0.035796,0.517886,0.517886,0.517886,0.001119,0.517886,2
50,19,220,407,187,0.080933,0.080933,0.080934,0.000000,0.080933,0.539924,0.539924,0.539924,0.000000,0.539924,2
34,8,188,414,226,0.022247,0.022247,0.022247,0.000000,0.022247,0.511121,0.511121,0.511122,0.000000,0.511121,2
47,20,206,415,209,0.035998,0.035998,0.035998,0.000084,0.035998,0.517980,0.517980,0.517980,0.000000,0.517980,2
56,29,231,418,187,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,0
35,13,188,420,232,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,2
52,4,230,422,192,0.009904,0.009904,0.009904,0.000000,0.009904,0.504952,0.504952,0.504952,0.000000,0.504952,2
44,30,196,426,230,0.026821,0.026821,0.026821,0.000000,0.026821,0.513400,0.513400,0.513399,0.001208,0.513400,3
57,1,239,426,187,0.079360,0.079360,0.079360,0.000108,0.079360,0.539596,0.539596,0.539596,0.000000,0.539596,2
43,3,192,431,239,0.073510,0.073510,0.073510,0.000000,0.073510,0.536689,0.536689,0.536690,0.000000,0.536689,1
38,23,188,434,246,0.055436,0.055436,0.055436,0.000000,0.055436,0.527601,0.527601,0.527602,0.000000,0.527601,3
51,21,227,434,207,0.012672,0.012672,0.012672,0.000008,0.012672,0.506332,0.506332,0.506332,0.000000,0.506332,1
49,12,220,437,217,0.001220,0.001220,0.001220,0.000000,0.001220,0.500610,0.500610,0.500610,0.000000,0.500610,2
62,16,250,437,187,0.218862,0.218862,0.218862,0.000329,0.218862,0.604859,0.604859,0.604859,0.001132,0.604859,2
63,18,251,438,187,0.887371,0.887371,0.887370,0.001402,0.887370,0.845555,0.845555,0.845555,0.001171,0.845555,0
42,28,191,440,249,0.004064,0.004064,0.004064,0.000000,0.004064,0.502032,0.502032,0.502031,0.001292,0.502032,2
53,2,231,443,212,0.015013,0.015013,0.015013,0.000029,0.015013,0.507355,0.507356,0.507355,0.000299,0.507355,2
58,26,239,457,218,0.044483,0.044483,0.044483,0.000022,0.044483,0.522225,0.522225,0.522225,0.001007,0.522225,2
48,6,216,461,245,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,2
55,24,231,462,231,0.023570,0.023570,0.023570,0.000000,0.023570,0.511783,0.511783,0.511782,0.000772,0.511783,2
54,17,231,470,239,0.016775,0.016775,0.016775,0.000000,0.016775,0.508386,0.508386,0.508385,0.001036,0.508386,2
60,22,243,479,236,0.209014,0.209014,0.209014,0.000000,0.209014,0.602846,0.602846,0.602845,0.001326,0.602846,3
59,11,242,481,239,0.179549,0.179549,0.179549,0.000000,0.179549,0.586468,0.586468,0.586470,0.000000,0.586468,1
61,9,247,482,235,0.006564,0.006564,0.006564,0.000015,0.006564,0.503282,0.503282,0.503281,0.000691,0.503282,1
67,25,376,563,187,0.008079,0.008079,0.008079,0.000007,0.008079,0.504039,0.504039,0.504038,0.000646,0.504039,2
68,31,376,585,209,0.046713,0.046713,0.046713,0.000022,0.046713,0.523339,0.523339,0.523338,0.000752,0.523339,1
65,7,376,587,211,0.051478,0.051478,0.051478,0.000065,0.051478,0.525716,0.525716,0.525717,0.000000,0.525716,2
72,5,404,591,187,0.012774,0.012774,0.012774,0.000000,0.012774,0.506387,0.506387,0.506386,0.000810,0.506387,2
66,14,376,594,218,0.062806,0.062806,0.062806,0.000000,0.062806,0.531351,0.531351,0.531350,0.000977,0.531351,2
70,15,398,605,207,0.035873,0.035873,0.035873,0.000000,0.035873,0.517928,0.517928,0.517929,0.000000,0.517928,1
80,1,427,614,187,0.076932,0.076932,0.076932,0.000112,0.076932,0.538330,0.538330,0.538330,0.000000,0.538330,2
64,0,376,617,241,0.965345,0.965345,0.965346,0.000000,0.965345,0.867927,0.867927,0.867925,0.001777,0.867927,2
85,16,438,625,187,0.093709,0.093709,0.093709,0.000075,0.093709,0.546401,0.546401,0.546402,0.000000,0.546401,1
83,21,435,628,193,0.068069,0.068069,0.068069,0.000000,0.068069,0.533934,0.533934,0.533935,0.000000,0.533934,2
87,28,441,629,188,0.003971,0.003971,0.003971,0.000000,0.003971,0.501985,0.501985,0.501984,0.000712,0.501985,2
75,20,416,632,216,0.037824,0.037824,0.037825,0.000000,0.037824,0.518901,0.518901,0.518900,0.000752,0.518901,2
69,10,394,637,243,0.415137,0.415137,0.415138,0.000000,0.415137,0.690578,0.690578,0.690578,0.000598,0.690578,1
74,8,415,640,225,0.014816,0.014816,0.014816,0.000038,0.014816,0.507355,0.507355,0.507355,0.000000,0.507355,1
82,23,435,640,205,0.036647,0.036647,0.036647,0.000000,0.036647,0.518315,0.518315,0.518316,0.000000,0.518315,1
79,30,427,642,215,0.046481,0.046481,0.046481,0.000105,0.046481,0.523223,0.523223,0.523224,0.000000,0.523223,2
81,3,432,644,212,0.022798,0.022798,0.022798,0.000029,0.022798,0.511397,0.511396,0.511398,0.000000,0.511397,2
89,26,458,645,187,0.192103,0.192103,0.192103,0.000150,0.192103,0.594684,0.594684,0.594683,0.001132,0.594684,2
71,27,403,646,243,0.861747,0.861747,0.861745,0.002367,0.861747,0.829846,0.829846,0.829848,0.000000,0.829846,1
78,4,423,649,226,0.005969,0.005969,0.005969,0.000005,0.005969,0.502984,0.502984,0.502984,0.001119,0.502984,2
88,2,444,655,211,0.042110,0.042110,0.042110,0.000032,0.042110,0.521041,0.521041,0.521042,0.000000,0.521041,2
73,19,408,656,248,0.010210,0.010210,0.010210,0.000000,0.010210,0.505104,0.505104,0.505104,0.000752,0.505104,2
90,6,462,656,194,0.001910,0.001910,0.001910,0.000000,0.001910,0.500955,0.500955,0.500954,0.001078,0.500955,2
77,13,421,659,238,0.052127,0.052127,0.052127,0.000040,0.052127,0.526040,0.526039,0.526039,0.000930,0.526040,2
76,29,419,660,241,0.000002,0.000002,0.000002,0.000000,0.000002,0.500001,0.500001,0.500000,0.000646,0.500001,3
84,12,438,666,228,0.007729,0.007729,0.007729,0.000014,0.007729,0.503864,0.503864,0.503863,0.001359,0.503864,1
93,22,480,670,190,0.033687,0.033687,0.033687,0.000011,0.033687,0.516832,0.516832,0.516831,0.001392,0.516832,2
86,18,439,685,246,0.048152,0.048152,0.048152,0.000000,0.048152,0.524057,0.524057,0.524056,0.000930,0.524057,2
91,24,463,700,237,0.014259,0.014259,0.014259,0.000000,0.014259,0.507128,0.507128,0.507127,0.000977,0.507128,3
92,17,471,705,234,0.042499,0.042499,0.042499,0.000087,0.042499,0.521230,0.521230,0.521231,0.000000,0.521230,2
94,11,482,710,228,0.000091,0.000091,0.000091,0.000000,0.000091,0.500046,0.500046,0.500046,0.000173,0.500046,2
95,9,483,714,231,0.041052,0.041052,0.041052,0.000064,0.041052,0.520370,0.520370,0.520370,0.000173,0.520370,3
96,25,564,764,200,0.033791,0.033791,0.033791,0.000000,0.033791,0.516889,0.516889,0.516890,0.000000,0.516889,2
100,14,595,797,202,0.058055,0.058055,0.058055,0.000000,0.058055,0.528995,0.528995,0.528994,0.000712,0.528995,1
97,31,586,805,219,0.072245,0.072245,0.072245,0.000089,0.072245,0.536027,0.536027,0.536026,0.000000,0.536027,1
98,7,588,812,224,0.046760,0.046760,0.046760,0.000093,0.046760,0.523363,0.523363,0.523362,0.000546,0.523363,2
103,0,618,813,195,0.028782,0.028782,0.028782,0.000000,0.028782,0.514381,0.514381,0.514381,0.000000,0.514381,2
99,5,592,820,228,0.027225,0.027225,0.027225,0.000037,0.027225,0.513605,0.513605,0.513605,0.000573,0.513605,2
107,20,633,820,187,0.044157,0.044157,0.044157,0.000065,0.044157,0.522063,0.522063,0.522064,0.000000,0.522063,2
105,21,629,824,195,0.012206,0.012206,0.012206,0.000000,0.012206,0.506103,0.506103,0.506103,0.000000,0.506103,2
101,15,606,830,224,0.061295,0.061295,0.061295,0.000159,0.061295,0.530605,0.530605,0.530604,0.000863,0.530605,1
111,30,643,830,187,0.007820,0.007820,0.007820,0.000000,0.007820,0.503910,0.503910,0.503909,0.001092,0.503910,2
108,10,638,837,199,0.020402,0.020402,0.020402,0.000000,0.020402,0.510200,0.510200,0.510200,0.000000,0.510200,2
115,4,650,837,187,0.036042,0.036042,0.036042,0.000000,0.036042,0.518011,0.518011,0.518011,0.000000,0.518011,2
102,1,615,841,226,0.033673,0.033673,0.033673,0.000083,0.033673,0.516830,0.516830,0.516830,0.000000,0.516830,2
116,2,656,843,187,0.058528,0.058528,0.058528,0.000000,0.058528,0.529219,0.529220,0.529220,0.000000,0.529219,2
119,13,660,847,187,0.007345,0.007345,0.007345,0.000000,0.007345,0.503671,0.503672,0.503670,0.001050,0.503671,2
106,28,630,849,219,0.033562,0.033562,0.033562,0.000048,0.033562,0.516773,0.516773,0.516772,0.001370,0.516773,2
109,8,641,855,214,0.001411,0.001411,0.001411,0.000000,0.001411,0.500706,0.500706,0.500704,0.001050,0.500706,2
118,6,657,858,201,0.024808,0.024808,0.024808,0.000000,0.024808,0.512402,0.512402,0.512400,0.001105,0.512402,2
114,27,647,870,223,0.004560,0.004560,0.004560,0.000000,0.004560,0.502279,0.502279,0.502281,0.000000,0.502279,2
104,16,626,872,246,0.000257,0.000257,0.000257,0.000000,0.000257,0.500129,0.500129,0.500130,0.000000,0.500129,3
121,12,667,873,206,0.040671,0.040671,0.040671,0.000000,0.040671,0.520324,0.520324,0.520325,0.000000,0.520324,2
123,18,686,876,190,0.025440,0.025440,0.025440,0.000000,0.025440,0.512716,0.512715,0.512716,0.000000,0.512716,2
112,3,645,880,235,0.014077,0.014077,0.014077,0.000032,0.014077,0.507034,0.507034,0.507034,0.000386,0.507034,1
120,29,661,880,219,0.047876,0.047876,0.047876,0.000040,0.047876,0.523919,0.523919,0.523919,0.000691,0.523919,2
110,23,641,887,246,0.028231,0.028231,0.028231,0.000058,0.028231,0.514070,0.514070,0.514069,0.000846,0.514070,2
113,26,646,897,251,0.026066,0.026066,0.026066,0.000060,0.026066,0.512856,0.512856,0.512856,0.000000,0.512856,2
125,17,706,897,191,0.061217,0.061217,0.061217,0.000000,0.061217,0.530562,0.530562,0.530563,0.000000,0.530562,2
117,19,657,898,241,0.022390,0.022390,0.022390,0.000000,0.022390,0.511159,0.511159,0.511160,0.000000,0.511159,2
122,22,671,904,233,0.014393,0.014393,0.014393,0.000000,0.014393,0.507195,0.507195,0.507195,0.001119,0.507195,2
124,24,701,931,230,0.051469,0.051468,0.051469,0.000000,0.051469,0.525702,0.525702,0.525703,0.000000,0.525702,2
127,9,715,936,221,0.011363,0.011363,0.011363,0.000011,0.011363,0.505681,0.505681,0.505682,0.000000,0.505681,1
126,11,711,942,231,0.009487,0.009487,0.009487,0.000013,0.009487,0.504743,0.504743,0.504744,0.000000,0.504743,3
128,25,765,952,187,0.013460,0.013460,0.013460,0.000026,0.013460,0.506729,0.506729,0.506729,0.000546,0.506729,2
129,14,798,985,187,0.033685,0.033685,0.033685,0.000000,0.033685,0.516836,0.516836,0.516837,0.000000,0.516836,2
131,7,813,1000,187,0.032578,0.032578,0.032578,0.000039,0.032578,0.516281,0.516281,0.516281,0.000828,0.516281,2
134,20,821,1008,187,0.008577,0.008577,0.008577,0.000010,0.008577,0.504285,0.504285,0.504285,0.000000,0.504285,1
130,31,806,1011,205,0.032679,0.032679,0.032679,0.000000,0.032679,0.516324,0.516324,0.516325,0.000000,0.516324,2
135,21,825,1012,187,0.026008,0.026008,0.026008,0.000000,0.026008,0.513000,0.513000,0.513000,0.000000,0.513000,1
132,0,814,1013,199,0.023901,0.023901,0.023901,0.000031,0.023901,0.511948,0.511948,0.511948,0.000000,0.511948,2
139,4,838,1025,187,0.038978,0.038978,0.038978,0.000067,0.038978,0.519478,0.519478,0.519478,0.000000,0.519478,1
137,30,831,1033,202,0.054764,0.054764,0.054764,0.000000,0.054764,0.527351,0.527351,0.527351,0.000000,0.527351,1
142,13,848,1035,187,0.080007,0.080007,0.080007,0.000022,0.080007,0.539909,0.539909,0.539909,0.000000,0.539909,2
143,28,850,1037,187,0.031083,0.031083,0.031084,0.000000,0.031083,0.515535,0.515535,0.515534,0.001119,0.515535,1
136,15,831,1051,220,0.095238,0.095238,0.095238,0.000159,0.095238,0.547472,0.547472,0.547471,0.001132,0.547472,2
148,12,874,1061,187,0.017398,0.017398,0.017398,0.000000,0.017398,0.508698,0.508698,0.508698,0.000598,0.508698,2
149,18,877,1064,187,0.015360,0.015360,0.015360,0.000017,0.015360,0.507679,0.507679,0.507680,0.000000,0.507679,2
133,5,821,1065,244,0.013961,0.013961,0.013961,0.000030,0.013961,0.506979,0.506979,0.506980,0.000000,0.506979,2
141,2,844,1065,221,0.007079,0.007079,0.007079,0.000003,0.007079,0.503539,0.503539,0.503540,0.000000,0.503539,1
145,6,859,1069,210,0.044491,0.044491,0.044491,0.000059,0.044491,0.522231,0.522231,0.522232,0.000000,0.522231,2
138,10,838,1071,233,0.025322,0.025322,0.025322,0.000000,0.025322,0.512652,0.512652,0.512651,0.000000,0.512652,2
152,23,888,1075,187,0.013471,0.013471,0.013471,0.000000,0.013471,0.506735,0.506735,0.506736,0.000000,0.506735,2
140,1,842,1078,236,0.058884,0.058884,0.058884,0.000088,0.058884,0.529396,0.529396,0.529396,0.000846,0.529396,2
147,16,873,1084,211,0.006475,0.006475,0.006475,0.000000,0.006475,0.503237,0.503237,0.503237,0.000299,0.503237,1
144,8,856,1089,233,0.059692,0.059692,0.059692,0.000000,0.059692,0.529811,0.529811,0.529810,0.001292,0.529811,1
146,27,871,1091,220,0.029430,0.029430,0.029430,0.000042,0.029430,0.514705,0.514706,0.514704,0.001424,0.514705,2
154,17,898,1100,202,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,1
150,3,881,1113,232,0.043472,0.043472,0.043472,0.000071,0.043472,0.521722,0.521722,0.521721,0.000913,0.521722,2
151,29,881,1117,236,0.069320,0.069320,0.069320,0.000000,0.069320,0.534559,0.534559,0.534561,0.000000,0.534559,2
155,19,899,1121,222,0.007741,0.007741,0.007741,0.000016,0.007741,0.503871,0.503871,0.503870,0.001171,0.503871,2
158,9,937,1124,187,0.018265,0.018265,0.018265,0.000000,0.018265,0.509127,0.509127,0.509127,0.000000,0.509127,2
153,26,898,1131,233,0.051544,0.051544,0.051544,0.000000,0.051544,0.525717,0.525717,0.525717,0.000000,0.525717,0
157,24,932,1135,203,0.025593,0.025593,0.025593,0.000000,0.025593,0.512779,0.512779,0.512779,0.000712,0.512779,1
159,11,943,1140,197,0.204904,0.204904,0.204904,0.000418,0.204904,0.600963,0.600963,0.600962,0.001359,0.600963,2
156,22,905,1143,238,0.031621,0.031621,0.031621,0.000066,0.031621,0.515804,0.515804,0.515806,0.000000,0.515804,3
161,14,986,1191,205,0.001142,0.001142,0.001142,0.000002,0.001142,0.500571,0.500571,0.500572,0.000000,0.500571,2
163,20,1009,1196,187,0.042614,0.042614,0.042614,0.000000,0.042614,0.521282,0.521282,0.521281,0.001171,0.521281,0
164,31,1012,1199,187,0.090817,0.090817,0.090817,0.000220,0.090817,0.544672,0.544672,0.544671,0.001337,0.544672,2
162,7,1001,1201,200,0.000541,0.000541,0.000541,0.000000,0.000541,0.500270,0.500270,0.500269,0.001145,0.500270,2
