life_id,agent_id,birth_step,death_step,lifetime_steps,c_score_birth,c_score_firstk,avg_c_score_tick,c_score_std_over_life,avg_c_score_attack,c_level01_birth,c_level01_firstk,avg_c_level01_tick,c_level01_std_over_life,avg_c_level01_attack,attack_tick_count
24,24,0,187,187,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,2
13,13,0,189,189,0.012588,0.012588,0.012588,0.000000,0.012588,0.506293,0.506293,0.506294,0.000000,0.506293,2
20,20,0,189,189,0.010377,0.010377,0.010377,0.000000,0.010377,0.505169,0.505169,0.505168,0.001119,0.505169,2
28,28,0,191,191,0.024471,0.024471,0.024471,0.000000,0.024471,0.512233,0.512233,0.512232,0.000946,0.512233,2
14,14,0,192,192,0.030328,0.030328,0.030328,0.000000,0.030328,0.515155,0.515155,0.515154,0.000828,0.515155,2
26,26,0,194,194,0.045568,0.045568,0.045568,0.000048,0.045568,0.522766,0.522766,0.522766,0.000573,0.522766,2
31,31,0,194,194,0.044103,0.044103,0.044103,0.000000,0.044103,0.522037,0.522037,0.522036,0.000828,0.522037,1
29,29,0,195,195,0.051503,0.051503,0.051503,0.000076,0.051503,0.525726,0.525726,0.525726,0.000000,0.525726,2
4,4,0,197,197,0.060406,0.060406,0.060406,0.000000,0.060406,0.530151,0.530151,0.530151,0.000000,0.530151,2
6,6,0,199,199,0.007760,0.007760,0.007760,0.000016,0.007760,0.503880,0.503880,0.503881,0.000000,0.503880,2
9,9,0,205,205,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,2
23,23,0,205,205,0.015893,0.015893,0.015893,0.000000,0.015893,0.507946,0.507946,0.507948,0.000000,0.507946,2
5,5,0,215,215,0.019225,0.019225,0.019225,0.000000,0.019225,0.509611,0.509611,0.509611,0.000000,0.509611,2
15,15,0,219,219,0.028834,0.028834,0.028834,0.000029,0.028834,0.514413,0.514413,0.514412,0.001184,0.514413,2
16,16,0,219,219,0.053442,0.053442,0.053442,0.000135,0.053442,0.526695,0.526695,0.526695,0.000712,0.526695,2
22,22,0,226,226,0.032700,0.032700,0.032700,0.000019,0.032700,0.516344,0.516344,0.516343,0.000691,0.516344,1
7,7,0,229,229,0.002658,0.002658,0.002658,0.000000,0.002658,0.501329,0.501329,0.501328,0.001171,0.501329,2
1,1,0,230,230,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,2
18,18,0,230,230,0.017753,0.017753,0.017753,0.000035,0.017753,0.508875,0.508875,0.508875,0.000669,0.508875,3
27,27,0,230,230,0.091046,0.091046,0.091045,0.000207,0.091046,0.545373,0.545373,0.545372,0.001007,0.545373,2
30,30,0,230,230,0.025125,0.025125,0.025125,0.000000,0.025125,0.512558,0.512558,0.512558,0.000000,0.512558,2
2,2,0,238,238,0.059598,0.059598,0.059598,0.000000,0.059598,0.529753,0.529753,0.529754,0.000000,0.529753,3
25,25,0,238,238,0.034056,0.034056,0.034056,0.000063,0.034056,0.517014,0.517014,0.517014,0.000598,0.517014,3
8,8,0,241,241,0.008263,0.008263,0.008263,0.000018,0.008263,0.504131,0.504131,0.504133,0.000000,0.504131,3
21,21,0,242,242,0.022940,0.022940,0.022940,0.000000,0.022940,0.511468,0.511468,0.511467,0.000977,0.511468,2
10,10,0,246,246,0.043604,0.043604,0.043604,0.000000,0.043604,0.521788,0.521788,0.521789,0.000000,0.521788,2
19,19,0,249,249,0.053192,0.053192,0.053192,0.000000,0.053192,0.526568,0.526568,0.526567,0.001221,0.526568,3
17,17,0,250,250,0.032755,0.032755,0.032755,0.000011,0.032755,0.516369,0.516369,0.516371,0.000000,0.516369,2
12,12,0,253,253,0.053114,0.053114,0.053114,0.000086,0.053114,0.526145,0.526146,0.526146,0.000000,0.526145,3
3,3,0,254,254,0.051721,0.051721,0.051722,0.000000,0.051721,0.525834,0.525834,0.525833,0.000913,0.525834,2
11,11,0,257,257,0.054206,0.054206,0.054207,0.000000,0.054206,0.527077,0.527077,0.527076,0.000000,0.527077,3
0,0,0,285,285,0.202906,0.202906,0.202907,0.000000,0.202906,0.598103,0.598103,0.598103,0.000000,0.598103,3
35,28,192,382,190,0.006984,0.006984,0.006984,0.000000,0.006984,0.503492,0.503491,0.503492,0.000000,0.503492,2
36,14,193,382,189,0.010581,0.010581,0.010581,0.000000,0.010581,0.505290,0.505290,0.505290,0.000622,0.505290,1
33,13,190,385,195,0.030003,0.030003,0.030003,0.000000,0.030003,0.514997,0.514997,0.514997,0.000000,0.514997,1
32,24,188,402,214,0.030659,0.030659,0.030659,0.000074,0.030659,0.515324,0.515324,0.515322,0.001525,0.515324,2
41,6,200,403,203,0.032291,0.032291,0.032291,0.000000,0.032291,0.516132,0.516132,0.516131,0.001007,0.516132,2
46,16,220,408,188,0.006165,0.006165,0.006165,0.000000,0.006165,0.503082,0.503082,0.503082,0.000772,0.503082,2
43,23,206,415,209,0.009029,0.009029,0.009029,0.000000,0.009029,0.504514,0.504514,0.504515,0.000000,0.504514,2
38,31,195,423,228,0.000004,0.000004,0.000004,0.000000,0.000004,0.500002,0.500002,0.500002,0.001078,0.500002,1
48,7,230,425,195,0.053449,0.053449,0.053449,0.000000,0.053449,0.526698,0.526698,0.526697,0.001132,0.526698,2
52,30,231,425,194,0.043018,0.043018,0.043017,0.000098,0.043017,0.521493,0.521494,0.521493,0.000423,0.521493,0
39,29,196,426,230,0.031935,0.031935,0.031935,0.000036,0.031935,0.515961,0.515961,0.515961,0.000810,0.515961,3
53,2,239,428,189,0.013262,0.013262,0.013262,0.000015,0.013262,0.506631,0.506631,0.506630,0.000828,0.506631,2
47,22,227,434,207,0.039241,0.039241,0.039240,0.000060,0.039241,0.519600,0.519600,0.519600,0.000598,0.519600,1
45,15,220,437,217,0.032246,0.032246,0.032246,0.000095,0.032246,0.516117,0.516117,0.516119,0.000000,0.516117,2
37,26,195,442,247,0.040535,0.040535,0.040535,0.000077,0.040535,0.520256,0.520256,0.520256,0.000000,0.520256,3
49,1,231,443,212,0.033774,0.033774,0.033774,0.000000,0.033774,0.516881,0.516880,0.516882,0.000000,0.516881,2
