life_id,agent_id,birth_step,death_step,lifetime_steps,c_score_birth,c_score_firstk,avg_c_score_tick,c_score_std_over_life,avg_c_score_attack,c_level01_birth,c_level01_firstk,avg_c_level01_tick,c_level01_std_over_life,avg_c_level01_attack,attack_tick_count
4,4,0,187,187,0.001399,0.001399,0.001399,0.000000,0.001399,0.500699,0.500699,0.500700,0.000000,0.500699,2
19,19,0,187,187,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,2
22,22,0,190,190,0.000002,0.000002,0.000002,0.000000,0.000002,0.500001,0.500001,0.500000,0.000386,0.500001,1
17,17,0,194,194,0.044247,0.044247,0.044247,0.000000,0.044247,0.522100,0.522100,0.522100,0.000000,0.522100,2
13,13,0,195,195,0.053731,0.053731,0.053731,0.000107,0.053731,0.526835,0.526835,0.526834,0.000299,0.526835,2
20,20,0,195,195,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,2
21,21,0,196,196,0.055680,0.055680,0.055680,0.000105,0.055680,0.527766,0.527766,0.527765,0.001158,0.527766,2
15,15,0,199,199,0.021116,0.021116,0.021116,0.000019,0.021116,0.510555,0.510555,0.510554,0.000880,0.510555,2
9,9,0,203,203,0.098592,0.098592,0.098592,0.000000,0.098592,0.548588,0.548588,0.548586,0.001434,0.548588,2
0,0,0,205,205,0.051828,0.051828,0.051828,0.000015,0.051828,0.525885,0.525885,0.525886,0.000000,0.525885,2
30,30,0,205,205,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,2
12,12,0,215,215,0.033068,0.033068,0.033068,0.000078,0.033068,0.516528,0.516528,0.516527,0.000345,0.516528,2
6,6,0,219,219,0.032412,0.032412,0.032412,0.000000,0.032412,0.516200,0.516200,0.516199,0.001269,0.516200,2
25,25,0,219,219,0.055762,0.055762,0.055762,0.000053,0.055762,0.527851,0.527851,0.527853,0.000000,0.527851,2
31,31,0,226,226,0.037663,0.037663,0.037663,0.000034,0.037663,0.518791,0.518791,0.518791,0.000000,0.518791,1
14,14,0,229,229,0.006481,0.006481,0.006481,0.000000,0.006481,0.503241,0.503241,0.503242,0.000000,0.503241,2
8,8,0,230,230,0.031422,0.031422,0.031422,0.000081,0.031422,0.515697,0.515697,0.515696,0.000712,0.515697,2
18,18,0,230,230,0.047199,0.047199,0.047199,0.000108,0.047199,0.523579,0.523579,0.523581,0.000000,0.523579,2
23,23,0,230,230,0.073446,0.073446,0.073446,0.000000,0.073446,0.536657,0.536657,0.536658,0.000000,0.536657,2
27,27,0,230,230,0.005696,0.005696,0.005696,0.000011,0.005696,0.502848,0.502848,0.502847,0.000946,0.502848,3
10,10,0,234,234,0.010837,0.010837,0.010837,0.000000,0.010837,0.505418,0.505418,0.505417,0.000992,0.505418,2
11,11,0,238,238,0.057719,0.057719,0.057719,0.000000,0.057719,0.528823,0.528823,0.528823,0.000000,0.528823,3
16,16,0,238,238,0.025033,0.025033,0.025033,0.000000,0.025033,0.512505,0.512505,0.512505,0.000000,0.512505,3
28,28,0,242,242,0.061455,0.061455,0.061455,0.000000,0.061455,0.530659,0.530660,0.530661,0.000000,0.530659,2
3,3,0,246,246,0.099831,0.099831,0.099831,0.000000,0.099831,0.549749,0.549749,0.549750,0.000000,0.549749,2
29,29,0,248,248,0.028536,0.028536,0.028536,0.000000,0.028536,0.514264,0.514264,0.514265,0.000000,0.514264,2
26,26,0,249,249,0.038368,0.038368,0.038368,0.000000,0.038368,0.519173,0.519174,0.519173,0.001078,0.519173,3
