life_id,agent_id,birth_step,death_step,lifetime_steps,c_level01_birth,c_level01_firstk,avg_c_level01_tick,c_level01_std_over_life,avg_c_level01_attack,attack_tick_count
69,2,687,1112,425,0.542004,0.542004,0.542006,0.000000,0.542004,5
66,5,658,1117,459,0.620803,0.620803,0.620802,0.000386,0.620803,4
92,29,788,1117,329,0.544592,0.544592,0.544591,0.000386,0.544592,3
73,14,695,1127,432,0.522500,0.522500,0.522503,0.000000,0.522500,5
86,1,745,1128,383,0.509287,0.509287,0.509289,0.000000,0.509287,2
90,19,768,1131,363,0.508313,0.508313,0.508315,0.000000,0.508313,3
91,3,775,1159,384,0.513087,0.513087,0.513088,0.000000,0.513087,4
84,8,739,1166,427,0.514142,0.514142,0.514144,0.000000,0.514142,4
94,13,867,1193,326,0.535585,0.535585,0.535584,0.000712,0.535585,3
93,27,831,1200,369,0.524191,0.524191,0.524189,0.000712,0.524191,4
85,23,744,1258,514,0.604758,0.604758,0.604757,0.001315,0.604758,6
95,30,963,1280,317,0.502053,0.502052,0.502054,0.000000,0.502053,3
98,17,985,1318,333,0.558328,0.558329,0.558329,0.000000,0.558328,3
96,24,965,1328,363,0.510572,0.510572,0.510574,0.000000,0.510572,3
104,16,1022,1343,321,0.516812,0.516812,0.516814,0.000000,0.516812,3
97,28,972,1363,391,0.534190,0.534190,0.534191,0.000173,0.534190,4
107,9,1058,1375,317,0.503960,0.503960,0.503961,0.000000,0.503960,3
105,11,1025,1385,360,0.500953,0.500954,0.500951,0.001245,0.500953,4
102,20,1010,1386,376,0.543091,0.543091,0.543091,0.000000,0.543091,2
100,26,1006,1393,387,0.534238,0.534238,0.534240,0.000000,0.534238,4
101,25,1009,1394,385,0.520854,0.520854,0.520855,0.000000,0.520854,4
111,18,1081,1404,323,0.523559,0.523559,0.523559,0.000000,0.523559,3
103,10,1018,1408,390,0.580582,0.580582,0.580582,0.000000,0.580582,3
106,31,1040,1415,375,0.541068,0.541068,0.541066,0.001619,0.541068,4
112,7,1093,1415,322,0.505964,0.505964,0.505965,0.000000,0.505964,2
