condition,n,pearson_r_firstk,pearson_p_firstk,spearman_rho_firstk,spearman_p_firstk,logrank_p_firstk,median_high_firstk,median_low_firstk,median_diff_firstk
baseline,4001,0.763265,0.000999,0.345486,0.000999,0.000999,222.000,210.000,12.000
norecharge,4020,0.000256,0.992008,-0.013159,0.388611,0.259740,210.500,209.500,1.000
